,sex,month,fips,year,deaths,deaths.pred,pop.adj,rate.adj,cause,sex.long,deaths.added.median,deaths.added.mean,deaths.added.ll,deaths.added.ul,deaths.added.two.deg.median,deaths.added.two.deg.mean,deaths.added.two.deg.ll,deaths.added.two.deg.ul,month.short,full_name,code_name,perc.mean,perc.ul,perc.ll
14,1,10,24,2016,799,799,2914466,0.00027415,Cardiopulmonary,Male,-4.251967877,-4.283483156,-7.348774404,-1.335339167,-8.459483559,-8.519229326,-14.59950751,-2.626164777,Oct,Maryland,MD,-0.005361055,-0.001671263,-0.009197465
15,1,10,25,2016,830,830,3305651,0.000251085,Cardiopulmonary,Male,-10.69036491,-10.71536766,-14.1688209,-7.113442109,-21.20894872,-21.26253911,-28.07139883,-14.12981143,Oct,Massachusetts,MA,-0.012910082,-0.008570412,-0.017070869
16,1,10,26,2016,1718,1718,4884746,0.000351707,Cardiopulmonary,Male,-9.562539826,-9.48960825,-14.61561094,-4.048902569,-19.02343813,-18.88934052,-29.08047943,-8.068712215,Oct,Michigan,MI,-0.005523637,-0.002356754,-0.00850734
17,1,10,27,2016,627,627,2747630,0.000228197,Cardiopulmonary,Male,-4.183552091,-4.206499644,-6.343137018,-2.092041734,-8.336166292,-8.372362167,-12.60675559,-4.170999164,Oct,Minnesota,MN,-0.006708931,-0.00333659,-0.010116646
18,1,10,28,2016,565,565,1448792,0.00038998,Cardiopulmonary,Male,-5.02328373,-5.058520499,-7.308103807,-2.9443868,-9.969206024,-10.04538064,-14.50845206,-5.842643167,Oct,Mississippi,MS,-0.008953134,-0.005211304,-0.012934697
19,1,10,29,2016,1044,1044,2992035,0.000348926,Cardiopulmonary,Male,-6.98565563,-7.063188814,-10.67363476,-3.576799889,-13.89680899,-14.05190526,-21.20555993,-7.126116301,Oct,Missouri,MO,-0.006765507,-0.003426054,-0.010223788
20,1,10,30,2016,164,164,524775,0.000312515,Cardiopulmonary,Male,-0.688598192,-0.684287128,-1.475413907,0.073088197,-1.370028155,-1.358963811,-2.931544502,0.150308623,Oct,Montana,MT,-0.004172482,0.00044566,-0.008996426
21,1,10,31,2016,272,272,950671,0.000286114,Cardiopulmonary,Male,-1.96054866,-1.959667635,-3.041426033,-0.927968065,-3.903550613,-3.896615987,-6.040004333,-1.846153125,Oct,Nebraska,NE,-0.00720466,-0.003411647,-0.011181713
22,1,10,32,2016,472,472,1473997,0.000320218,Cardiopulmonary,Male,-1.867458445,-1.891962061,-4.055866487,0.361634301,-3.698250273,-3.749031892,-8.053577433,0.737087478,Oct,Nevada,NV,-0.004008394,0.000766174,-0.008592937
23,1,10,33,2016,208,208,660860,0.000314741,Cardiopulmonary,Male,-1.090950271,-1.104394988,-2.241771781,0.066488905,-2.149464912,-2.176478469,-4.425538794,0.161096361,Oct,New Hampshire,NH,-0.005309591,0.000319658,-0.010777749
24,1,10,34,2016,1181,1181,4367744,0.000270391,Cardiopulmonary,Male,-12.558366,-12.55077343,-16.91978672,-8.044254335,-24.95196848,-24.9175679,-33.56402438,-15.99469361,Oct,New Jersey,NJ,-0.010627243,-0.006811392,-0.014326661
25,1,10,35,2016,299,299,1030663,0.000290105,Cardiopulmonary,Male,-0.082939559,-0.082189809,-1.750570549,1.709587001,-0.147369471,-0.13741564,-3.475229423,3.443127023,Oct,New Mexico,NM,-0.000274882,0.005717682,-0.005854751
26,1,10,36,2016,2846,2846,9587365,0.000296849,Cardiopulmonary,Male,-24.30192458,-24.21111938,-33.10857781,-14.4780025,-48.34766571,-48.15083849,-65.76764628,-28.80938543,Oct,New York,NY,-0.008507069,-0.005087141,-0.011633372
27,1,10,37,2016,1484,1484,4932952,0.000300834,Cardiopulmonary,Male,-14.46728599,-14.53756687,-19.7294543,-9.421447231,-28.7564771,-28.88804126,-39.15912694,-18.76398939,Oct,North Carolina,NC,-0.009796204,-0.006348684,-0.013294781
28,1,10,38,2016,123,123,388974,0.000316217,Cardiopulmonary,Male,-0.841940234,-0.837684196,-1.405319554,-0.266040321,-1.67286154,-1.663109515,-2.785410513,-0.520192974,Oct,North Dakota,ND,-0.006810441,-0.002162929,-0.011425362
29,1,10,39,2016,1961,1961,5691694,0.000344537,Cardiopulmonary,Male,-14.0105808,-14.00281264,-19.78408036,-7.882084337,-27.86038655,-27.8389429,-39.3355757,-15.63906417,Oct,Ohio,OH,-0.007140649,-0.004019421,-0.010088771
30,1,10,4,2016,882,882,3442895,0.00025618,Cardiopulmonary,Male,-3.928017791,-3.86803858,-7.277521316,-0.261624592,-7.787437425,-7.665581804,-14.46168074,-0.498004862,Oct,Arizona,AZ,-0.004385531,-0.000296627,-0.008251158
31,1,10,40,2016,717,717,1943903,0.000368846,Cardiopulmonary,Male,-4.639356281,-4.601803647,-7.034971519,-2.089371532,-9.227357514,-9.154026763,-13.98306925,-4.145768297,Oct,Oklahoma,OK,-0.006418136,-0.002914047,-0.009811676
32,1,10,41,2016,555,555,2027010,0.000273802,Cardiopulmonary,Male,-4.631452323,-4.638675645,-7.226379296,-2.340376881,-9.202888213,-9.209661737,-14.32584736,-4.633364989,Oct,Oregon,OR,-0.008357974,-0.004216895,-0.013020503
33,1,10,42,2016,2163,2163,6261194,0.000345461,Cardiopulmonary,Male,-19.11725362,-19.14883727,-26.09459434,-12.33702046,-38.033905,-38.09104745,-51.86214615,-24.57691617,Oct,Pennsylvania,PA,-0.008852907,-0.005703662,-0.012064075
34,1,10,44,2016,148,148,513081,0.000288453,Cardiopulmonary,Male,-1.126158145,-1.108952812,-1.977242992,-0.257097282,-2.23433849,-2.197868248,-3.919495996,-0.505455465,Oct,Rhode Island,RI,-0.007492924,-0.001737144,-0.01335975
35,1,10,45,2016,745,745,2407934,0.000309394,Cardiopulmonary,Male,-7.198438858,-7.116740695,-9.824670315,-4.184049605,-14.30736087,-14.13772664,-19.48064635,-8.333335601,Oct,South Carolina,SC,-0.009552672,-0.005616174,-0.013187477
36,1,10,46,2016,127,127,436272,0.000291103,Cardiopulmonary,Male,-0.55599244,-0.560061407,-1.146682725,0.029390917,-1.10318472,-1.112426735,-2.278287748,0.061229595,Oct,South Dakota,SD,-0.004409932,0.000231425,-0.009028998
37,1,10,47,2016,1169,1169,3242515,0.000360523,Cardiopulmonary,Male,-10.28556088,-10.32059976,-14.11362608,-6.690223632,-20.44914551,-20.5200061,-28.03169796,-13.33194089,Oct,Tennessee,TN,-0.008828571,-0.005723031,-0.012073247
38,1,10,48,2016,3149,3149,13831432,0.00022767,Cardiopulmonary,Male,-26.24438651,-26.16868963,-36.17664801,-15.35780889,-52.17236546,-52.03043086,-71.83850952,-30.6148136,Oct,Texas,TX,-0.008310159,-0.004877043,-0.011488297
39,1,10,49,2016,215,215,1535894,0.000139984,Cardiopulmonary,Male,-0.708535169,-0.721190738,-1.826394273,0.380595715,-1.40253421,-1.423203267,-3.632595047,0.771686196,Oct,Utah,UT,-0.003354376,0.001770213,-0.008494857
40,1,10,5,2016,562,562,1467873,0.000382867,Cardiopulmonary,Male,-3.591660038,-3.538402451,-5.547157523,-1.105870712,-7.126723702,-7.029047219,-11.02254083,-2.195388175,Oct,Arkansas,AR,-0.00629609,-0.001967741,-0.009870387
41,1,10,50,2016,96,96,308466,0.000311217,Cardiopulmonary,Male,-0.447976714,-0.445832875,-1.054916746,0.152947193,-0.887707636,-0.881030869,-2.091074104,0.319969921,Oct,Vermont,VT,-0.004644092,0.0015932,-0.010988716
42,1,10,51,2016,1066,1066,4136814,0.000257686,Cardiopulmonary,Male,-7.746132177,-7.706570787,-11.34236535,-4.092196526,-15.40836385,-15.32037906,-22.52467895,-8.136958514,Oct,Virginia,VA,-0.007229429,-0.003838834,-0.010640118
43,1,10,53,2016,840,840,3641400,0.000230681,Cardiopulmonary,Male,-8.631167642,-8.657703913,-11.91428244,-5.391868761,-17.13674562,-17.1859893,-23.61952352,-10.72683655,Oct,Washington,WA,-0.01030679,-0.006418891,-0.01418367
44,1,10,54,2016,358,358,905943,0.000395168,Cardiopulmonary,Male,-2.737079439,-2.744403538,-4.143783421,-1.388927144,-5.439182192,-5.448727419,-8.221967754,-2.749771523,Oct,West Virginia,WV,-0.007665932,-0.003879685,-0.011574814
45,1,10,55,2016,843,843,2873426,0.000293378,Cardiopulmonary,Male,-7.222469393,-7.21928651,-10.16434931,-4.335787695,-14.37246314,-14.35808451,-20.18525504,-8.638173693,Oct,Wisconsin,WI,-0.008563804,-0.005143283,-0.012057354
46,1,10,56,2016,77,77,298942,0.000257575,Cardiopulmonary,Male,-0.728794788,-0.735056888,-1.234908571,-0.242734953,-1.443760716,-1.455158034,-2.447843254,-0.478957855,Oct,Wyoming,WY,-0.009546193,-0.003152402,-0.016037774
47,1,10,6,2016,4384,4384,19493361,0.000224897,Cardiopulmonary,Male,-38.09742417,-37.88988577,-51.54007682,-24.65988231,-75.80034669,-75.36165422,-102.2791634,-49.13912259,Oct,California,CA,-0.008642766,-0.005624973,-0.011756404
48,1,10,8,2016,606,606,2785818,0.00021753,Cardiopulmonary,Male,-3.340678947,-3.293609009,-5.681098541,-0.809619793,-6.646790744,-6.546668188,-11.28931094,-1.587866348,Oct,Colorado,CO,-0.005434998,-0.001336006,-0.00937475
49,1,10,9,2016,477,477,1745615,0.000273256,Cardiopulmonary,Male,-5.210591734,-5.242954535,-7.277654927,-3.260997052,-10.34374908,-10.40748281,-14.41125731,-6.498225652,Oct,Connecticut,CT,-0.010991519,-0.006836472,-0.015257138
50,1,1,1,2016,1024,1024,2354522.192,0.000434908,Cardiopulmonary,Male,-10.41269477,-10.4556422,-13.58106484,-7.240405587,-20.69408564,-20.78407082,-26.95693712,-14.41368194,Jan,Alabama,AL,-0.010210588,-0.007070709,-0.013262759
51,1,1,10,2016,166,166,459446.0528,0.000361305,Cardiopulmonary,Male,-2.062009055,-2.064835506,-3.010126409,-1.114671062,-4.087837793,-4.089232302,-5.944277652,-2.212290267,Jan,Delaware,DE,-0.012438768,-0.006714886,-0.018133292
52,1,1,11,2016,99,99,321267.6634,0.000308154,Cardiopulmonary,Male,-0.584307836,-0.582770759,-1.15679132,0.033536774,-1.148792765,-1.145888019,-2.288640149,0.077104465,Jan,District of Columbia,DC,-0.005886573,0.000338755,-0.011684761
53,1,11,1,2016,952,983.7333333,2355586,0.000417617,Cardiopulmonary,Male,-8.228200061,-8.173500928,-11.40961323,-4.830235352,-16.37498081,-16.25985857,-22.67064713,-9.612007908,Nov,Alabama,AL,-0.00858561,-0.005073777,-0.011984888
54,1,11,10,2016,153,158.1,460670,0.000343196,Cardiopulmonary,Male,-1.594043652,-1.597091453,-2.641845604,-0.634621736,-3.167140543,-3.167272876,-5.234386341,-1.257074754,Nov,Delaware,DE,-0.010438506,-0.004147854,-0.017266965
55,1,11,11,2016,88,90.93333333,323230,0.000281327,Cardiopulmonary,Male,-0.485185824,-0.489235803,-1.082554732,0.104398748,-0.962227006,-0.968356311,-2.146809259,0.211607174,Nov,District of Columbia,DC,-0.005559498,0.001186349,-0.012301758
56,1,11,12,2016,3398,3511.266667,10070151,0.000348681,Cardiopulmonary,Male,-35.98612451,-35.92908213,-47.51158355,-23.65286966,-71.5627248,-71.42819625,-94.30087588,-47.08729477,Nov,Florida,FL,-0.010573597,-0.006960821,-0.01398222
57,1,11,13,2016,1385,1431.166667,5020465,0.000285067,Cardiopulmonary,Male,-12.66664063,-12.67067531,-16.7984073,-8.01422283,-25.18430774,-25.19946199,-33.31246157,-15.94457542,Nov,Georgia,GA,-0.009148502,-0.005786442,-0.012128814
58,1,11,16,2016,226,233.5333333,843532,0.000276852,Cardiopulmonary,Male,-1.184187077,-1.20872165,-2.41336709,-0.148603384,-2.358592509,-2.402837405,-4.796551102,-0.292634292,Nov,Idaho,ID,-0.005348326,-0.000657537,-0.010678615
59,1,11,17,2016,1750,1808.333333,6291791,0.000287412,Cardiopulmonary,Male,-11.163871,-11.2314046,-16.20015814,-6.306739277,-22.2293018,-22.3651457,-32.22524126,-12.57513398,Nov,Illinois,IL,-0.006417945,-0.003603851,-0.009257233
60,1,11,18,2016,1081,1117.033333,3269562,0.000341646,Cardiopulmonary,Male,-5.880013934,-5.933474536,-9.133222938,-2.760678472,-11.72191665,-11.81685725,-18.17980977,-5.507528589,Nov,Indiana,IN,-0.005488876,-0.002553819,-0.008448865
61,1,11,19,2016,498,514.6,1559119,0.000330058,Cardiopulmonary,Male,-3.242723563,-3.22433978,-4.74839535,-1.472896604,-6.445301728,-6.407519968,-9.43648631,-2.920585271,Nov,Iowa,IA,-0.006474578,-0.002957624,-0.00953493
62,1,1,12,2016,3683,3683,9999250.62,0.000368328,Cardiopulmonary,Male,-52.31400252,-52.29884686,-62.79635144,-41.79681181,-103.8380699,-103.7980578,-124.4690309,-83.0583535,Jan,Florida,FL,-0.014200067,-0.011348578,-0.017050326
63,1,11,20,2016,456,471.2,1447759,0.000325469,Cardiopulmonary,Male,-2.974643851,-2.981080553,-4.631051547,-1.266644649,-5.922893252,-5.934350215,-9.199413947,-2.528355973,Nov,Kansas,KS,-0.006537457,-0.002777729,-0.010155815
64,1,11,21,2016,787,813.2333333,2186553,0.000371925,Cardiopulmonary,Male,-6.727832878,-6.721318237,-9.193629743,-4.424604669,-13.37973389,-13.36643487,-18.25777868,-8.809760608,Nov,Kentucky,KY,-0.00854043,-0.005622115,-0.011681868
65,1,11,22,2016,760,785.3333333,2289370,0.000343035,Cardiopulmonary,Male,-11.28889758,-11.21980642,-13.93737472,-8.242333017,-22.38716137,-22.2501967,-27.61383769,-16.37607373,Nov,Louisiana,LA,-0.014762903,-0.010845175,-0.018338651
66,1,11,23,2016,239,246.9666667,652585,0.000378444,Cardiopulmonary,Male,-1.61662134,-1.616079658,-2.83353411,-0.35868187,-3.216486213,-3.210222218,-5.622345965,-0.698873941,Nov,Maine,ME,-0.00676184,-0.001500761,-0.011855791
67,1,11,24,2016,787,813.2333333,2914466,0.000279033,Cardiopulmonary,Male,-4.085167472,-4.032968225,-6.653988426,-1.244608802,-8.119540678,-8.023166595,-13.21851311,-2.472765617,Nov,Maryland,MD,-0.005124483,-0.00158146,-0.008454877
68,1,11,25,2016,835,862.8333333,3305651,0.000261018,Cardiopulmonary,Male,-10.26648766,-10.30410558,-13.60967099,-7.299810636,-20.39621608,-20.46786427,-26.98131672,-14.51462743,Nov,Massachusetts,MA,-0.012340246,-0.008742288,-0.016299007
69,1,11,26,2016,1629,1683.3,4884746,0.000344603,Cardiopulmonary,Male,-10.14180699,-10.1554178,-14.99712174,-5.474582292,-20.188281,-20.21378494,-29.82700977,-10.90079768,Nov,Michigan,MI,-0.006234142,-0.003360701,-0.009206336
70,1,11,27,2016,633,654.1,2747630,0.00023806,Cardiopulmonary,Male,-3.86794529,-3.868916516,-5.784509547,-1.934543246,-7.704244465,-7.701126654,-11.51067039,-3.852935914,Nov,Minnesota,MN,-0.006112032,-0.00305615,-0.009138246
71,1,11,28,2016,547,565.2333333,1448792,0.000390141,Cardiopulmonary,Male,-5.322725614,-5.305959997,-7.547065754,-3.238051526,-10.57917094,-10.54169455,-14.98330294,-6.421309267,Nov,Mississippi,MS,-0.00970011,-0.005919655,-0.013797195
72,1,11,29,2016,1018,1051.933333,2992035,0.000351578,Cardiopulmonary,Male,-6.604094285,-6.587290747,-9.586690345,-3.635569862,-13.14792621,-13.11476019,-19.05319843,-7.241601124,Nov,Missouri,MO,-0.006470816,-0.003571287,-0.009417181
73,1,1,13,2016,1520,1520,5003278.671,0.000303801,Cardiopulmonary,Male,-15.60225602,-15.61363074,-19.92400735,-11.44208357,-31.00901762,-31.03661087,-39.56169479,-22.74629142,Jan,Georgia,GA,-0.010272125,-0.007527687,-0.0131079
74,1,11,30,2016,163,168.4333333,524775,0.000320963,Cardiopulmonary,Male,-0.556251247,-0.561236762,-1.366411756,0.238693483,-1.103816396,-1.112983066,-2.711156199,0.482976747,Nov,Montana,MT,-0.00344317,0.001464377,-0.008382894
75,1,11,31,2016,288,297.6,950671,0.000313042,Cardiopulmonary,Male,-1.766028161,-1.746688548,-2.789037036,-0.649919801,-3.517221424,-3.477456652,-5.547370469,-1.294438202,Nov,Nebraska,NE,-0.006064891,-0.002256666,-0.009684156
76,1,11,32,2016,471,486.7,1473997,0.000330191,Cardiopulmonary,Male,-1.933567715,-1.975560768,-4.216391203,0.148383663,-3.84350179,-3.92037667,-8.370632306,0.317369007,Nov,Nevada,NV,-0.004194397,0.00031504,-0.008951998
77,1,11,33,2016,187,193.2333333,660860,0.000292397,Cardiopulmonary,Male,-0.971672928,-0.981911023,-2.003068597,0.070075186,-1.922796561,-1.941341659,-3.970830215,0.164109348,Nov,New Hampshire,NH,-0.005250861,0.000374734,-0.010711597
78,1,11,34,2016,1216,1256.533333,4367744,0.000287685,Cardiopulmonary,Male,-11.9871972,-11.96593279,-16.07218251,-7.998010576,-23.83932063,-23.7950794,-31.90782096,-15.93885652,Nov,New Jersey,NJ,-0.009840405,-0.006577311,-0.013217255
79,1,11,35,2016,275,284.1666667,1030663,0.000275712,Cardiopulmonary,Male,-0.140261071,-0.153347447,-1.742761386,1.424700552,-0.259815864,-0.285308989,-3.459221997,2.868782199,Nov,New Mexico,NM,-0.000557627,0.005180729,-0.006337314
80,1,11,36,2016,2816,2909.866667,9587365,0.000303511,Cardiopulmonary,Male,-24.01277574,-24.05750959,-32.33898254,-15.54373951,-47.78933574,-47.87226378,-64.28693739,-30.93556497,Nov,New York,NY,-0.00854315,-0.005519794,-0.011484014
81,1,11,37,2016,1459,1507.633333,4932952,0.000305625,Cardiopulmonary,Male,-14.4902081,-14.40984341,-18.93904523,-9.723088864,-28.81616399,-28.65410013,-37.62699558,-19.36441164,Nov,North Carolina,NC,-0.009876521,-0.006664214,-0.01298084
82,1,11,38,2016,93,96.1,388974,0.00024706,Cardiopulmonary,Male,-0.545941497,-0.549420325,-0.951161682,-0.142350641,-1.083520754,-1.089988546,-1.887151632,-0.277665871,Nov,North Dakota,ND,-0.005907745,-0.001530652,-0.010227545
83,1,11,39,2016,1963,2028.433333,5691694,0.000356385,Cardiopulmonary,Male,-14.37309819,-14.33215519,-19.74303663,-8.943015989,-28.61828013,-28.52590333,-39.24680377,-17.82666078,Nov,Ohio,OH,-0.007301149,-0.00455579,-0.010057584
84,1,11,4,2016,950,981.6666667,3442895,0.000285128,Cardiopulmonary,Male,-4.649501991,-4.65565175,-8.162799842,-1.036059498,-9.248664582,-9.242080078,-16.19034546,-2.036782413,Nov,Arizona,AZ,-0.004900686,-0.001090589,-0.008592421
85,1,11,40,2016,669,691.3,1943903,0.000355625,Cardiopulmonary,Male,-4.863534675,-4.83451093,-6.993520979,-2.539270864,-9.674914783,-9.610509096,-13.89627214,-5.039316459,Nov,Oklahoma,OK,-0.007226474,-0.003795622,-0.010453694
86,1,11,41,2016,568,586.9333333,2027010,0.000289556,Cardiopulmonary,Male,-5.328293873,-5.340643086,-7.915407539,-2.757636567,-10.58598616,-10.60589746,-15.70492729,-5.474459021,Nov,Oregon,OR,-0.009402541,-0.004854994,-0.013935577
87,1,11,42,2016,2170,2242.333333,6261194,0.000358132,Cardiopulmonary,Male,-19.5219541,-19.4705706,-25.92589541,-13.13758747,-38.83969273,-38.73749054,-51.54154891,-26.13810386,Nov,Pennsylvania,PA,-0.008972613,-0.006054188,-0.011947417
88,1,11,44,2016,154,159.1333333,513081,0.000310152,Cardiopulmonary,Male,-1.104846435,-1.103880934,-1.987440738,-0.183935399,-2.191993851,-2.187875072,-3.934750673,-0.355387562,Nov,Rhode Island,RI,-0.007168058,-0.001194386,-0.012905459
89,1,11,45,2016,839,866.9666667,2407934,0.000360046,Cardiopulmonary,Male,-8.32132606,-8.287602786,-11.19937555,-5.284858935,-16.54313692,-16.47034642,-22.23149209,-10.49956104,Nov,South Carolina,SC,-0.009877953,-0.006298998,-0.013348481
90,1,11,46,2016,122,126.0666667,436272,0.000288963,Cardiopulmonary,Male,-0.457960491,-0.464895492,-1.01018812,0.059909592,-0.90508508,-0.920314745,-2.002914905,0.12601989,Nov,South Dakota,SD,-0.003810619,0.000491062,-0.00828023
91,1,11,47,2016,1142,1180.066667,3242515,0.000363936,Cardiopulmonary,Male,-10.4618192,-10.4735896,-14.05362847,-6.881493501,-20.80914169,-20.82366399,-27.91453862,-13.69244019,Nov,Tennessee,TN,-0.009171269,-0.006025826,-0.012306155
92,1,11,48,2016,3236,3343.866667,13831432,0.000241759,Cardiopulmonary,Male,-30.78141575,-30.82496182,-39.75815298,-21.16258478,-61.2074219,-61.28778194,-78.95005719,-42.13337706,Nov,Texas,TX,-0.009525637,-0.006539736,-0.012286203
93,1,11,49,2016,268,276.9333333,1535894,0.000180308,Cardiopulmonary,Male,-0.832384358,-0.834787751,-2.164127513,0.483138095,-1.637431054,-1.643176996,-4.295644753,0.97617049,Nov,Utah,UT,-0.00311488,0.001802754,-0.008075103
94,1,11,5,2016,607,627.2333333,1467873,0.000427308,Cardiopulmonary,Male,-4.203313853,-4.221112838,-6.200694124,-1.935746037,-8.356408077,-8.38025594,-12.30952523,-3.82631274,Nov,Arkansas,AR,-0.006954057,-0.003189038,-0.010215312
95,1,11,50,2016,85,87.83333333,308466,0.000284742,Cardiopulmonary,Male,-0.37570619,-0.369621319,-0.93584952,0.228270054,-0.744541475,-0.73141921,-1.856362858,0.463257002,Nov,Vermont,VT,-0.004348486,0.00268553,-0.011009994
96,1,11,51,2016,1044,1078.8,4136814,0.00026078,Cardiopulmonary,Male,-6.941192907,-6.868518504,-10.08407367,-3.441319011,-13.80304097,-13.66133274,-20.0429447,-6.824047649,Nov,Virginia,VA,-0.006579041,-0.003296283,-0.009659074
97,1,11,53,2016,847,875.2333333,3641400,0.000240356,Cardiopulmonary,Male,-9.225196512,-9.195720724,-12.33214962,-5.878605919,-18.32316985,-18.26428247,-24.46543354,-11.66955635,Nov,Washington,WA,-0.010856813,-0.006940503,-0.014559799
98,1,11,54,2016,339,350.3,905943,0.000386669,Cardiopulmonary,Male,-2.500331222,-2.486844607,-3.76455069,-1.205554205,-4.971249834,-4.944498034,-7.474757376,-2.395310721,Nov,West Virginia,WV,-0.007335825,-0.003556207,-0.011104869
99,1,11,55,2016,812,839.0666667,2873426,0.000292009,Cardiopulmonary,Male,-6.742005717,-6.680792982,-9.15607265,-4.187435188,-13.41725572,-13.29305918,-18.20206698,-8.334054491,Nov,Wisconsin,WI,-0.008227578,-0.00515694,-0.011275952
100,1,11,56,2016,83,85.76666667,298942,0.000286901,Cardiopulmonary,Male,-0.920241996,-0.911750679,-1.496102188,-0.319642136,-1.817189496,-1.804558981,-2.960273202,-0.628960448,Nov,Wyoming,WY,-0.010984948,-0.00385111,-0.018025328
101,1,1,16,2016,245,245,837279.3632,0.000292614,Cardiopulmonary,Male,-1.402414119,-1.404433088,-2.597827043,-0.17098342,-2.786669865,-2.786885476,-5.162066018,-0.336813171,Jan,Idaho,ID,-0.00573238,-0.000697892,-0.010603376
102,1,11,6,2016,4382,4528.066667,19493361,0.000232288,Cardiopulmonary,Male,-42.46392227,-42.68350265,-56.57581686,-29.4743616,-84.45068117,-84.89386799,-112.3094689,-58.71473107,Nov,California,CA,-0.009740644,-0.006726235,-0.012910958
103,1,1,17,2016,2004,2004,6301130.97,0.000318038,Cardiopulmonary,Male,-15.05962613,-14.98884379,-19.51195216,-10.68108468,-29.99535971,-29.84334745,-38.81336497,-21.29354771,Jan,Illinois,IL,-0.007479463,-0.005329883,-0.009736503
104,1,1,18,2016,1142,1142,3266253.426,0.000349636,Cardiopulmonary,Male,-9.133556855,-9.022509782,-11.71146098,-6.015758985,-18.17773408,-17.9590758,-23.29589322,-11.98933797,Jan,Indiana,IN,-0.007900622,-0.00526774,-0.01025522
105,1,11,8,2016,546,564.2,2785818,0.000202526,Cardiopulmonary,Male,-2.814754157,-2.786649768,-4.85559156,-0.680110974,-5.591112911,-5.537522215,-9.658002745,-1.346304387,Nov,Colorado,CO,-0.005103754,-0.001245624,-0.008893025
106,1,1,19,2016,580,580,1556099.724,0.000372727,Cardiopulmonary,Male,-4.810839567,-4.81517563,-6.397655088,-3.186325984,-9.573135796,-9.58076154,-12.72143767,-6.347976693,Jan,Iowa,IA,-0.008302027,-0.005493665,-0.01103044
