"","cause.numeric","cause.group","cause.sub"
"107",8233,"Unintentional","Transport accidents"
"108",8237,"Unintentional","Transport accidents"
"109",8239,"Unintentional","Transport accidents"
"110",8241,"Unintentional","Transport accidents"
"111",8248,"Unintentional","Transport accidents"
"112",8249,"Unintentional","Transport accidents"
"113",8250,"Unintentional","Transport accidents"
"114",8251,"Unintentional","Transport accidents"
"115",8252,"Unintentional","Transport accidents"
"116",8257,"Unintentional","Transport accidents"
"117",8258,"Unintentional","Transport accidents"
"118",8259,"Unintentional","Transport accidents"
"119",8260,"Unintentional","Transport accidents"
"120",8261,"Unintentional","Transport accidents"
"121",8269,"Unintentional","Transport accidents"
"122",8273,"Unintentional","Transport accidents"
"123",8279,"Unintentional","Transport accidents"
"124",8282,"Unintentional","Transport accidents"
"125",8289,"Unintentional","Transport accidents"
"126",8290,"Unintentional","Transport accidents"
"127",8291,"Unintentional","Transport accidents"
"128",8298,"Unintentional","Transport accidents"
"129",8299,"Unintentional","Transport accidents"
"130",8300,"Unintentional","Transport accidents"
"131",8301,"Unintentional","Transport accidents"
"132",8302,"Unintentional","Transport accidents"
"133",8303,"Unintentional","Transport accidents"
"134",8308,"Unintentional","Transport accidents"
"135",8309,"Unintentional","Transport accidents"
"136",8310,"Unintentional","Transport accidents"
"137",8311,"Unintentional","Transport accidents"
"138",8312,"Unintentional","Transport accidents"
"139",8318,"Unintentional","Transport accidents"
"140",8319,"Unintentional","Transport accidents"
"141",8320,"Unintentional","Transport accidents"
"142",8321,"Unintentional","Transport accidents"
"143",8322,"Unintentional","Transport accidents"
"144",8326,"Unintentional","Transport accidents"
"145",8329,"Unintentional","Transport accidents"
"146",8342,"Unintentional","Transport accidents"
"147",8346,"Unintentional","Transport accidents"
"148",8348,"Unintentional","Transport accidents"
"149",8349,"Unintentional","Transport accidents"
"150",8352,"Unintentional","Transport accidents"
"151",8353,"Unintentional","Transport accidents"
"152",8362,"Unintentional","Transport accidents"
"153",8366,"Unintentional","Transport accidents"
"154",8372,"Unintentional","Transport accidents"
"155",8373,"Unintentional","Transport accidents"
"156",8378,"Unintentional","Transport accidents"
"157",8380,"Unintentional","Transport accidents"
"158",8381,"Unintentional","Transport accidents"
"159",8382,"Unintentional","Transport accidents"
"160",8384,"Unintentional","Transport accidents"
"161",8385,"Unintentional","Transport accidents"
"162",8386,"Unintentional","Transport accidents"
"163",8388,"Unintentional","Transport accidents"
"164",8389,"Unintentional","Transport accidents"
"165",8401,"Unintentional","Transport accidents"
"166",8402,"Unintentional","Transport accidents"
"167",8403,"Unintentional","Transport accidents"
"168",8404,"Unintentional","Transport accidents"
"169",8405,"Unintentional","Transport accidents"
"170",8409,"Unintentional","Transport accidents"
"171",8411,"Unintentional","Transport accidents"
"172",8412,"Unintentional","Transport accidents"
"173",8413,"Unintentional","Transport accidents"
"174",8414,"Unintentional","Transport accidents"
"175",8415,"Unintentional","Transport accidents"
"176",8418,"Unintentional","Transport accidents"
"177",8419,"Unintentional","Transport accidents"
"178",8422,"Unintentional","Transport accidents"
"179",8426,"Unintentional","Transport accidents"
"180",8427,"Unintentional","Transport accidents"
"181",8431,"Unintentional","Transport accidents"
"182",8436,"Unintentional","Transport accidents"
"183",8437,"Unintentional","Transport accidents"
"184",8442,"Unintentional","Transport accidents"
"185",8443,"Unintentional","Transport accidents"
"186",8447,"Unintentional","Transport accidents"
"187",8448,"Unintentional","Transport accidents"
"188",8449,"Unintentional","Transport accidents"
"189",8460,"Unintentional","Transport accidents"
"190",8480,"Unintentional","Transport accidents"
"191",8500,"Unintentional","Other external causes of accidental injury"
"192",8501,"Unintentional","Other external causes of accidental injury"
"193",8502,"Unintentional","Other external causes of accidental injury"
"194",8503,"Unintentional","Other external causes of accidental injury"
"195",8504,"Unintentional","Other external causes of accidental injury"
"196",8505,"Unintentional","Other external causes of accidental injury"
"197",8508,"Unintentional","Other external causes of accidental injury"
"198",8510,"Unintentional","Other external causes of accidental injury"
"199",8520,"Unintentional","Other external causes of accidental injury"
"200",8521,"Unintentional","Other external causes of accidental injury"
"201",8522,"Unintentional","Other external causes of accidental injury"
"202",8523,"Unintentional","Other external causes of accidental injury"
"203",8524,"Unintentional","Other external causes of accidental injury"
"204",8525,"Unintentional","Other external causes of accidental injury"
"205",8528,"Unintentional","Other external causes of accidental injury"
"206",8529,"Unintentional","Other external causes of accidental injury"
"207",8530,"Unintentional","Other external causes of accidental injury"
"208",8532,"Unintentional","Other external causes of accidental injury"
"209",8538,"Unintentional","Other external causes of accidental injury"
"210",8539,"Unintentional","Other external causes of accidental injury"
"211",8540,"Unintentional","Other external causes of accidental injury"
"212",8541,"Unintentional","Other external causes of accidental injury"
"213",8542,"Unintentional","Other external causes of accidental injury"
"214",8550,"Unintentional","Other external causes of accidental injury"
"215",8551,"Unintentional","Other external causes of accidental injury"
"216",8552,"Unintentional","Other external causes of accidental injury"
"217",8554,"Unintentional","Other external causes of accidental injury"
"218",8555,"Unintentional","Other external causes of accidental injury"
"219",8558,"Unintentional","Other external causes of accidental injury"
"220",8560,"Unintentional","Other external causes of accidental injury"
"221",8570,"Unintentional","Other external causes of accidental injury"
"222",8580,"Unintentional","Other external causes of accidental injury"
"223",8581,"Unintentional","Other external causes of accidental injury"
"224",8582,"Unintentional","Other external causes of accidental injury"
"225",8583,"Unintentional","Other external causes of accidental injury"
"226",8584,"Unintentional","Other external causes of accidental injury"
"227",8585,"Unintentional","Other external causes of accidental injury"
"228",8586,"Unintentional","Other external causes of accidental injury"
"229",8587,"Unintentional","Other external causes of accidental injury"
"230",8588,"Unintentional","Other external causes of accidental injury"
"231",8589,"Unintentional","Other external causes of accidental injury"
"232",8600,"Unintentional","Other external causes of accidental injury"
"233",8601,"Unintentional","Other external causes of accidental injury"
"234",8602,"Unintentional","Other external causes of accidental injury"
"235",8603,"Unintentional","Other external causes of accidental injury"
"236",8604,"Unintentional","Other external causes of accidental injury"
"237",8608,"Unintentional","Other external causes of accidental injury"
"238",8609,"Unintentional","Other external causes of accidental injury"
"239",8610,"Unintentional","Other external causes of accidental injury"
"240",8611,"Unintentional","Other external causes of accidental injury"
"241",8612,"Unintentional","Other external causes of accidental injury"
"242",8613,"Unintentional","Other external causes of accidental injury"
"243",8614,"Unintentional","Other external causes of accidental injury"
"244",8616,"Unintentional","Other external causes of accidental injury"
"245",8619,"Unintentional","Other external causes of accidental injury"
"246",8621,"Unintentional","Other external causes of accidental injury"
"247",8624,"Unintentional","Other external causes of accidental injury"
"248",8629,"Unintentional","Other external causes of accidental injury"
"249",8630,"Unintentional","Other external causes of accidental injury"
"250",8631,"Unintentional","Other external causes of accidental injury"
"251",8634,"Unintentional","Other external causes of accidental injury"
"252",8635,"Unintentional","Other external causes of accidental injury"
"253",8636,"Unintentional","Other external causes of accidental injury"
"254",8638,"Unintentional","Other external causes of accidental injury"
"255",8639,"Unintentional","Other external causes of accidental injury"
"256",8640,"Unintentional","Other external causes of accidental injury"
"257",8641,"Unintentional","Other external causes of accidental injury"
"258",8642,"Unintentional","Other external causes of accidental injury"
"259",8643,"Unintentional","Other external causes of accidental injury"
"260",8644,"Unintentional","Other external causes of accidental injury"
"261",8651,"Unintentional","Other external causes of accidental injury"
"262",8652,"Unintentional","Other external causes of accidental injury"
"263",8653,"Unintentional","Other external causes of accidental injury"
"264",8654,"Unintentional","Other external causes of accidental injury"
"265",8655,"Unintentional","Other external causes of accidental injury"
"266",8659,"Unintentional","Other external causes of accidental injury"
"267",8660,"Unintentional","Other external causes of accidental injury"
"268",8663,"Unintentional","Other external causes of accidental injury"
"269",8664,"Unintentional","Other external causes of accidental injury"
"270",8665,"Unintentional","Other external causes of accidental injury"
"271",8667,"Unintentional","Other external causes of accidental injury"
"272",8668,"Unintentional","Other external causes of accidental injury"
"273",8669,"Unintentional","Other external causes of accidental injury"
"274",8670,"Unintentional","Other external causes of accidental injury"
"275",8680,"Unintentional","Other external causes of accidental injury"
"276",8681,"Unintentional","Other external causes of accidental injury"
"277",8682,"Unintentional","Other external causes of accidental injury"
"278",8683,"Unintentional","Other external causes of accidental injury"
"279",8688,"Unintentional","Other external causes of accidental injury"
"280",8689,"Unintentional","Other external causes of accidental injury"
"281",8690,"Unintentional","Other external causes of accidental injury"
"282",8692,"Unintentional","Other external causes of accidental injury"
"283",8693,"Unintentional","Other external causes of accidental injury"
"284",8698,"Unintentional","Other external causes of accidental injury"
"285",8699,"Unintentional","Other external causes of accidental injury"
"286",8700,"Unintentional","Complications of medical and surgical care"
"287",8701,"Unintentional","Complications of medical and surgical care"
"288",8702,"Unintentional","Complications of medical and surgical care"
"289",8704,"Unintentional","Complications of medical and surgical care"
"290",8705,"Unintentional","Complications of medical and surgical care"
"291",8706,"Unintentional","Complications of medical and surgical care"
"292",8707,"Unintentional","Complications of medical and surgical care"
"293",8708,"Unintentional","Complications of medical and surgical care"
"294",8709,"Unintentional","Complications of medical and surgical care"
"295",8710,"Unintentional","Complications of medical and surgical care"
"296",8719,"Unintentional","Complications of medical and surgical care"
"297",8732,"Unintentional","Complications of medical and surgical care"
"298",8738,"Unintentional","Complications of medical and surgical care"
"299",8739,"Unintentional","Complications of medical and surgical care"
"300",8740,"Unintentional","Complications of medical and surgical care"
"301",8741,"Unintentional","Complications of medical and surgical care"
"302",8742,"Unintentional","Complications of medical and surgical care"
"303",8748,"Unintentional","Complications of medical and surgical care"
"304",8759,"Unintentional","Complications of medical and surgical care"
"305",8760,"Unintentional","Complications of medical and surgical care"
"306",8761,"Unintentional","Complications of medical and surgical care"
"307",8763,"Unintentional","Complications of medical and surgical care"
"308",8765,"Unintentional","Complications of medical and surgical care"
"309",8768,"Unintentional","Complications of medical and surgical care"
"310",8769,"Unintentional","Complications of medical and surgical care"
"311",8780,"Unintentional","Complications of medical and surgical care"
"312",8781,"Unintentional","Complications of medical and surgical care"
"313",8782,"Unintentional","Complications of medical and surgical care"
"314",8783,"Unintentional","Complications of medical and surgical care"
"315",8784,"Unintentional","Complications of medical and surgical care"
"316",8785,"Unintentional","Complications of medical and surgical care"
"317",8786,"Unintentional","Complications of medical and surgical care"
"318",8788,"Unintentional","Complications of medical and surgical care"
"319",8789,"Unintentional","Complications of medical and surgical care"
"320",8790,"Unintentional","Complications of medical and surgical care"
"321",8791,"Unintentional","Complications of medical and surgical care"
"322",8792,"Unintentional","Complications of medical and surgical care"
"323",8794,"Unintentional","Complications of medical and surgical care"
"324",8795,"Unintentional","Complications of medical and surgical care"
"325",8796,"Unintentional","Complications of medical and surgical care"
"326",8798,"Unintentional","Complications of medical and surgical care"
"327",8799,"Unintentional","Complications of medical and surgical care"
"328",8800,"Unintentional","Other external causes of accidental injury"
"329",8809,"Unintentional","Other external causes of accidental injury"
"330",8810,"Unintentional","Other external causes of accidental injury"
"331",8811,"Unintentional","Other external causes of accidental injury"
"332",8820,"Unintentional","Other external causes of accidental injury"
"333",8830,"Unintentional","Other external causes of accidental injury"
"334",8831,"Unintentional","Other external causes of accidental injury"
"335",8832,"Unintentional","Other external causes of accidental injury"
"336",8839,"Unintentional","Other external causes of accidental injury"
"337",8840,"Unintentional","Other external causes of accidental injury"
"338",8841,"Unintentional","Other external causes of accidental injury"
"339",8842,"Unintentional","Other external causes of accidental injury"
"340",8849,"Unintentional","Other external causes of accidental injury"
"341",8850,"Unintentional","Other external causes of accidental injury"
"342",8860,"Unintentional","Other external causes of accidental injury"
"343",8869,"Unintentional","Other external causes of accidental injury"
"344",8870,"Unintentional","Other external causes of accidental injury"
"345",8880,"Unintentional","Other external causes of accidental injury"
"346",8900,"Unintentional","Other external causes of accidental injury"
"347",8902,"Unintentional","Other external causes of accidental injury"
"348",8903,"Unintentional","Other external causes of accidental injury"
"349",8908,"Unintentional","Other external causes of accidental injury"
"350",8909,"Unintentional","Other external causes of accidental injury"
"351",8910,"Unintentional","Other external causes of accidental injury"
"352",8912,"Unintentional","Other external causes of accidental injury"
"353",8913,"Unintentional","Other external causes of accidental injury"
"354",8918,"Unintentional","Other external causes of accidental injury"
"355",8919,"Unintentional","Other external causes of accidental injury"
"356",8920,"Unintentional","Other external causes of accidental injury"
"357",8930,"Unintentional","Other external causes of accidental injury"
"358",8931,"Unintentional","Other external causes of accidental injury"
"359",8932,"Unintentional","Other external causes of accidental injury"
"360",8938,"Unintentional","Other external causes of accidental injury"
"361",8939,"Unintentional","Other external causes of accidental injury"
"362",8940,"Unintentional","Other external causes of accidental injury"
"363",8950,"Unintentional","Other external causes of accidental injury"
"364",8960,"Unintentional","Other external causes of accidental injury"
"365",8970,"Unintentional","Other external causes of accidental injury"
"366",8980,"Unintentional","Other external causes of accidental injury"
"367",8981,"Unintentional","Other external causes of accidental injury"
"368",8990,"Unintentional","Other external causes of accidental injury"
"369",9000,"Unintentional","Other external causes of accidental injury"
"370",9001,"Unintentional","Other external causes of accidental injury"
"371",9009,"Unintentional","Other external causes of accidental injury"
"372",9010,"Unintentional","Other external causes of accidental injury"
"373",9011,"Unintentional","Other external causes of accidental injury"
"374",9018,"Unintentional","Other external causes of accidental injury"
"375",9019,"Unintentional","Other external causes of accidental injury"
"376",9022,"Unintentional","Other external causes of accidental injury"
"377",9029,"Unintentional","Other external causes of accidental injury"
"379",9040,"Unintentional","Other external causes of accidental injury"
"380",9041,"Unintentional","Other external causes of accidental injury"
"381",9043,"Unintentional","Other external causes of accidental injury"
"382",9049,"Unintentional","Other external causes of accidental injury"
"383",9050,"Unintentional","Other external causes of accidental injury"
"384",9051,"Unintentional","Other external causes of accidental injury"
"385",9053,"Unintentional","Other external causes of accidental injury"
"386",9055,"Unintentional","Other external causes of accidental injury"
"387",9060,"Unintentional","Other external causes of accidental injury"
"388",9063,"Unintentional","Other external causes of accidental injury"
"389",9064,"Unintentional","Other external causes of accidental injury"
"390",9068,"Unintentional","Other external causes of accidental injury"
"391",9069,"Unintentional","Other external causes of accidental injury"
"392",9070,"Unintentional","Other external causes of accidental injury"
"393",9080,"Unintentional","Other external causes of accidental injury"
"394",9090,"Unintentional","Other external causes of accidental injury"
"395",9100,"Unintentional","Other external causes of accidental injury"
"396",9101,"Unintentional","Other external causes of accidental injury"
"397",9102,"Unintentional","Other external causes of accidental injury"
"398",9103,"Unintentional","Other external causes of accidental injury"
"399",9104,"Unintentional","Other external causes of accidental injury"
"400",9108,"Unintentional","Other external causes of accidental injury"
"401",9109,"Unintentional","Other external causes of accidental injury"
"402",9110,"Unintentional","Other external causes of accidental injury"
"403",9120,"Unintentional","Other external causes of accidental injury"
"404",9130,"Unintentional","Other external causes of accidental injury"
"405",9131,"Unintentional","Other external causes of accidental injury"
"406",9132,"Unintentional","Other external causes of accidental injury"
"407",9133,"Unintentional","Other external causes of accidental injury"
"408",9138,"Unintentional","Other external causes of accidental injury"
"409",9139,"Unintentional","Other external causes of accidental injury"
"410",9150,"Unintentional","Other external causes of accidental injury"
"411",9160,"Unintentional","Other external causes of accidental injury"
"412",9170,"Unintentional","Other external causes of accidental injury"
"413",9172,"Unintentional","Other external causes of accidental injury"
"414",9179,"Unintentional","Other external causes of accidental injury"
"415",9180,"Unintentional","Other external causes of accidental injury"
"416",9190,"Unintentional","Other external causes of accidental injury"
"417",9191,"Unintentional","Other external causes of accidental injury"
"418",9192,"Unintentional","Other external causes of accidental injury"
"419",9193,"Unintentional","Other external causes of accidental injury"
"420",9194,"Unintentional","Other external causes of accidental injury"
"421",9196,"Unintentional","Other external causes of accidental injury"
"422",9197,"Unintentional","Other external causes of accidental injury"
"423",9198,"Unintentional","Other external causes of accidental injury"
"424",9199,"Unintentional","Other external causes of accidental injury"
"425",9200,"Unintentional","Other external causes of accidental injury"
"426",9201,"Unintentional","Other external causes of accidental injury"
"427",9202,"Unintentional","Other external causes of accidental injury"
"428",9203,"Unintentional","Other external causes of accidental injury"
"429",9204,"Unintentional","Other external causes of accidental injury"
"430",9208,"Unintentional","Other external causes of accidental injury"
"431",9209,"Unintentional","Other external causes of accidental injury"
"432",9210,"Unintentional","Other external causes of accidental injury"
"433",9211,"Unintentional","Other external causes of accidental injury"
"434",9218,"Unintentional","Other external causes of accidental injury"
"435",9220,"Unintentional","Other external causes of accidental injury"
"436",9221,"Unintentional","Other external causes of accidental injury"
"437",9222,"Unintentional","Other external causes of accidental injury"
"438",9228,"Unintentional","Other external causes of accidental injury"
"439",9229,"Unintentional","Other external causes of accidental injury"
"440",9230,"Unintentional","Other external causes of accidental injury"
"441",9231,"Unintentional","Other external causes of accidental injury"
"442",9232,"Unintentional","Other external causes of accidental injury"
"443",9238,"Unintentional","Other external causes of accidental injury"
"444",9239,"Unintentional","Other external causes of accidental injury"
"445",9240,"Unintentional","Other external causes of accidental injury"
"446",9241,"Unintentional","Other external causes of accidental injury"
"447",9248,"Unintentional","Other external causes of accidental injury"
"448",9250,"Unintentional","Other external causes of accidental injury"
"449",9251,"Unintentional","Other external causes of accidental injury"
"450",9252,"Unintentional","Other external causes of accidental injury"
"451",9258,"Unintentional","Other external causes of accidental injury"
"452",9259,"Unintentional","Other external causes of accidental injury"
"453",9262,"Unintentional","Other external causes of accidental injury"
"454",9268,"Unintentional","Other external causes of accidental injury"
"455",9270,"Unintentional","Other external causes of accidental injury"
"456",9288,"Unintentional","Other external causes of accidental injury"
"457",9289,"Unintentional","Other external causes of accidental injury"
"458",9290,"Unintentional","Other external causes of accidental injury"
"459",9291,"Unintentional","Other external causes of accidental injury"
"460",9292,"Unintentional","Other external causes of accidental injury"
"461",9293,"Unintentional","Other external causes of accidental injury"
"462",9294,"Unintentional","Other external causes of accidental injury"
"463",9295,"Unintentional","Other external causes of accidental injury"
"464",9298,"Unintentional","Other external causes of accidental injury"
"465",9299,"Unintentional","Other external causes of accidental injury"
"466",9300,"Unintentional","Complications of medical and surgical care"
"467",9305,"Unintentional","Complications of medical and surgical care"
"468",9308,"Unintentional","Complications of medical and surgical care"
"469",9309,"Unintentional","Complications of medical and surgical care"
"470",9314,"Unintentional","Complications of medical and surgical care"
"471",9318,"Unintentional","Complications of medical and surgical care"
"472",9323,"Unintentional","Complications of medical and surgical care"
"473",9329,"Unintentional","Complications of medical and surgical care"
"474",9330,"Unintentional","Complications of medical and surgical care"
"475",9331,"Unintentional","Complications of medical and surgical care"
"476",9340,"Unintentional","Complications of medical and surgical care"
"477",9342,"Unintentional","Complications of medical and surgical care"
"478",9344,"Unintentional","Complications of medical and surgical care"
"479",9345,"Unintentional","Complications of medical and surgical care"
"480",9348,"Unintentional","Complications of medical and surgical care"
"481",9350,"Unintentional","Complications of medical and surgical care"
"482",9351,"Unintentional","Complications of medical and surgical care"
"483",9352,"Unintentional","Complications of medical and surgical care"
"484",9354,"Unintentional","Complications of medical and surgical care"
"485",9355,"Unintentional","Complications of medical and surgical care"
"486",9361,"Unintentional","Complications of medical and surgical care"
"487",9363,"Unintentional","Complications of medical and surgical care"
"488",9370,"Unintentional","Complications of medical and surgical care"
"489",9379,"Unintentional","Complications of medical and surgical care"
"490",9384,"Unintentional","Complications of medical and surgical care"
"491",9385,"Unintentional","Complications of medical and surgical care"
"492",9389,"Unintentional","Complications of medical and surgical care"
"493",9390,"Unintentional","Complications of medical and surgical care"
"494",9391,"Unintentional","Complications of medical and surgical care"
"495",9412,"Unintentional","Complications of medical and surgical care"
"496",9420,"Unintentional","Complications of medical and surgical care"
"497",9421,"Unintentional","Complications of medical and surgical care"
"498",9424,"Unintentional","Complications of medical and surgical care"
"499",9441,"Unintentional","Complications of medical and surgical care"
"500",9447,"Unintentional","Complications of medical and surgical care"
"501",9461,"Unintentional","Complications of medical and surgical care"
"502",9465,"Unintentional","Complications of medical and surgical care"
"503",9473,"Unintentional","Complications of medical and surgical care"
"504",9478,"Unintentional","Complications of medical and surgical care"
"505",9479,"Unintentional","Complications of medical and surgical care"
"583",9800,"Unintentional","Other external causes of accidental injury"
"584",9801,"Unintentional","Other external causes of accidental injury"
"585",9802,"Unintentional","Other external causes of accidental injury"
"586",9803,"Unintentional","Other external causes of accidental injury"
"587",9804,"Unintentional","Other external causes of accidental injury"
"588",9805,"Unintentional","Other external causes of accidental injury"
