"","letter","cause.numeric","cause.group","cause.sub"
"40","V",170,"Unintentional","Transport accidents"
"388","W",170,"Unintentional","Other external causes of accidental injury"
"464","X",170,"Unintentional","Other external causes of accidental injury"
"41","V",172,"Unintentional","Transport accidents"
"42","V",174,"Unintentional","Transport accidents"
"43","V",175,"Unintentional","Transport accidents"
"44","V",179,"Unintentional","Transport accidents"
"45","V",180,"Unintentional","Transport accidents"
"389","W",180,"Unintentional","Other external causes of accidental injury"
"465","X",180,"Unintentional","Other external causes of accidental injury"
"46","V",181,"Unintentional","Transport accidents"
"47","V",182,"Unintentional","Transport accidents"
"48","V",184,"Unintentional","Transport accidents"
"49","V",189,"Unintentional","Transport accidents"
"390","W",190,"Unintentional","Other external causes of accidental injury"
"466","X",190,"Unintentional","Other external causes of accidental injury"
"50","V",191,"Unintentional","Transport accidents"
"51","V",192,"Unintentional","Transport accidents"
"52","V",193,"Unintentional","Transport accidents"
"53","V",194,"Unintentional","Transport accidents"
"54","V",195,"Unintentional","Transport accidents"
"55","V",196,"Unintentional","Transport accidents"
"56","V",198,"Unintentional","Transport accidents"
"57","V",199,"Unintentional","Transport accidents"
"391","W",200,"Unintentional","Other external causes of accidental injury"
"467","X",200,"Unintentional","Other external causes of accidental injury"
"58","V",204,"Unintentional","Transport accidents"
"59","V",205,"Unintentional","Transport accidents"
"60","V",209,"Unintentional","Transport accidents"
"392","W",210,"Unintentional","Other external causes of accidental injury"
"468","X",210,"Unintentional","Other external causes of accidental injury"
"61","V",214,"Unintentional","Transport accidents"
"62","V",215,"Unintentional","Transport accidents"
"63","V",220,"Unintentional","Transport accidents"
"393","W",220,"Unintentional","Other external causes of accidental injury"
"64","V",221,"Unintentional","Transport accidents"
"65","V",224,"Unintentional","Transport accidents"
"66","V",225,"Unintentional","Transport accidents"
"67","V",229,"Unintentional","Transport accidents"
"68","V",230,"Unintentional","Transport accidents"
"394","W",230,"Unintentional","Other external causes of accidental injury"
"469","X",230,"Unintentional","Other external causes of accidental injury"
"69","V",231,"Unintentional","Transport accidents"
"70","V",234,"Unintentional","Transport accidents"
"71","V",235,"Unintentional","Transport accidents"
"72","V",239,"Unintentional","Transport accidents"
"395","W",240,"Unintentional","Other external causes of accidental injury"
"470","X",240,"Unintentional","Other external causes of accidental injury"
"73","V",244,"Unintentional","Transport accidents"
"74","V",245,"Unintentional","Transport accidents"
"75","V",249,"Unintentional","Transport accidents"
"396","W",250,"Unintentional","Other external causes of accidental injury"
"471","X",250,"Unintentional","Other external causes of accidental injury"
"76","V",254,"Unintentional","Transport accidents"
"77","V",259,"Unintentional","Transport accidents"
"397","W",260,"Unintentional","Other external causes of accidental injury"
"78","V",264,"Unintentional","Transport accidents"
"79","V",270,"Unintentional","Transport accidents"
"398","W",270,"Unintentional","Other external causes of accidental injury"
"80","V",271,"Unintentional","Transport accidents"
"81","V",272,"Unintentional","Transport accidents"
"82","V",274,"Unintentional","Transport accidents"
"83","V",275,"Unintentional","Transport accidents"
"84","V",279,"Unintentional","Transport accidents"
"85","V",280,"Unintentional","Transport accidents"
"399","W",280,"Unintentional","Other external causes of accidental injury"
"86","V",282,"Unintentional","Transport accidents"
"87","V",284,"Unintentional","Transport accidents"
"88","V",285,"Unintentional","Transport accidents"
"89","V",289,"Unintentional","Transport accidents"
"90","V",290,"Unintentional","Transport accidents"
"400","W",290,"Unintentional","Other external causes of accidental injury"
"472","X",290,"Unintentional","Other external causes of accidental injury"
"91","V",291,"Unintentional","Transport accidents"
"92","V",292,"Unintentional","Transport accidents"
"93","V",293,"Unintentional","Transport accidents"
"94","V",294,"Unintentional","Transport accidents"
"95","V",295,"Unintentional","Transport accidents"
"96","V",296,"Unintentional","Transport accidents"
"97","V",298,"Unintentional","Transport accidents"
"98","V",299,"Unintentional","Transport accidents"
"401","W",300,"Unintentional","Other external causes of accidental injury"
"473","X",300,"Unintentional","Other external causes of accidental injury"
"402","W",310,"Unintentional","Other external causes of accidental injury"
"474","X",310,"Unintentional","Other external causes of accidental injury"
"403","W",320,"Unintentional","Other external causes of accidental injury"
"475","X",320,"Unintentional","Other external causes of accidental injury"
"99","V",324,"Unintentional","Transport accidents"
"404","W",330,"Unintentional","Other external causes of accidental injury"
"476","X",330,"Unintentional","Other external causes of accidental injury"
"100","V",335,"Unintentional","Transport accidents"
"101","V",336,"Unintentional","Transport accidents"
"102","V",339,"Unintentional","Transport accidents"
"405","W",340,"Unintentional","Other external causes of accidental injury"
"477","X",340,"Unintentional","Other external causes of accidental injury"
"406","W",350,"Unintentional","Other external causes of accidental injury"
"407","W",360,"Unintentional","Other external causes of accidental injury"
"478","X",360,"Unintentional","Other external causes of accidental injury"
"408","W",370,"Unintentional","Other external causes of accidental injury"
"479","X",370,"Unintentional","Other external causes of accidental injury"
"103","V",371,"Unintentional","Transport accidents"
"104","V",375,"Unintentional","Transport accidents"
"409","W",380,"Unintentional","Other external causes of accidental injury"
"480","X",380,"Unintentional","Other external causes of accidental injury"
"105","V",381,"Unintentional","Transport accidents"
"106","V",383,"Unintentional","Transport accidents"
"107","V",385,"Unintentional","Transport accidents"
"108","V",386,"Unintentional","Transport accidents"
"109","V",389,"Unintentional","Transport accidents"
"410","W",390,"Unintentional","Other external causes of accidental injury"
"481","X",390,"Unintentional","Other external causes of accidental injury"
"110","V",392,"Unintentional","Transport accidents"
"111","V",393,"Unintentional","Transport accidents"
"112","V",394,"Unintentional","Transport accidents"
"113","V",399,"Unintentional","Transport accidents"
"411","W",400,"Unintentional","Other external causes of accidental injury"
"482","X",400,"Unintentional","Other external causes of accidental injury"
"583","Y",400,"Unintentional","Complications of medical and surgical care"
"584","Y",401,"Unintentional","Complications of medical and surgical care"
"585","Y",403,"Unintentional","Complications of medical and surgical care"
"114","V",405,"Unintentional","Transport accidents"
"115","V",406,"Unintentional","Transport accidents"
"116","V",407,"Unintentional","Transport accidents"
"586","Y",408,"Unintentional","Complications of medical and surgical care"
"117","V",409,"Unintentional","Transport accidents"
"587","Y",409,"Unintentional","Complications of medical and surgical care"
"412","W",410,"Unintentional","Other external causes of accidental injury"
"588","Y",410,"Unintentional","Complications of medical and surgical care"
"118","V",423,"Unintentional","Transport accidents"
"589","Y",423,"Unintentional","Complications of medical and surgical care"
"119","V",425,"Unintentional","Transport accidents"
"120","V",426,"Unintentional","Transport accidents"
"121","V",429,"Unintentional","Transport accidents"
"122","V",430,"Unintentional","Transport accidents"
"485","X",430,"Unintentional","Other external causes of accidental injury"
"590","Y",430,"Unintentional","Complications of medical and surgical care"
"123","V",431,"Unintentional","Transport accidents"
"591","Y",431,"Unintentional","Complications of medical and surgical care"
"592","Y",433,"Unintentional","Complications of medical and surgical care"
"593","Y",434,"Unintentional","Complications of medical and surgical care"
"124","V",435,"Unintentional","Transport accidents"
"125","V",436,"Unintentional","Transport accidents"
"594","Y",436,"Unintentional","Complications of medical and surgical care"
"126","V",437,"Unintentional","Transport accidents"
"127","V",439,"Unintentional","Transport accidents"
"128","V",440,"Unintentional","Transport accidents"
"413","W",440,"Unintentional","Other external causes of accidental injury"
"486","X",440,"Unintentional","Other external causes of accidental injury"
"595","Y",440,"Unintentional","Complications of medical and surgical care"
"129","V",441,"Unintentional","Transport accidents"
"596","Y",442,"Unintentional","Complications of medical and surgical care"
"597","Y",443,"Unintentional","Complications of medical and surgical care"
"130","V",445,"Unintentional","Transport accidents"
"598","Y",445,"Unintentional","Complications of medical and surgical care"
"131","V",446,"Unintentional","Transport accidents"
"132","V",449,"Unintentional","Transport accidents"
"599","Y",449,"Unintentional","Complications of medical and surgical care"
"133","V",450,"Unintentional","Transport accidents"
"414","W",450,"Unintentional","Other external causes of accidental injury"
"600","Y",450,"Unintentional","Complications of medical and surgical care"
"134","V",451,"Unintentional","Transport accidents"
"601","Y",451,"Unintentional","Complications of medical and surgical care"
"602","Y",452,"Unintentional","Complications of medical and surgical care"
"135","V",453,"Unintentional","Transport accidents"
"603","Y",453,"Unintentional","Complications of medical and surgical care"
"136","V",455,"Unintentional","Transport accidents"
"604","Y",455,"Unintentional","Complications of medical and surgical care"
"137","V",456,"Unintentional","Transport accidents"
"605","Y",458,"Unintentional","Complications of medical and surgical care"
"138","V",459,"Unintentional","Transport accidents"
"606","Y",459,"Unintentional","Complications of medical and surgical care"
"488","X",460,"Unintentional","Other external causes of accidental injury"
"607","Y",462,"Unintentional","Complications of medical and surgical care"
"139","V",465,"Unintentional","Transport accidents"
"140","V",466,"Unintentional","Transport accidents"
"608","Y",466,"Unintentional","Complications of medical and surgical care"
"141","V",470,"Unintentional","Transport accidents"
"489","X",470,"Unintentional","Other external causes of accidental injury"
"142","V",471,"Unintentional","Transport accidents"
"143","V",472,"Unintentional","Transport accidents"
"144","V",473,"Unintentional","Transport accidents"
"145","V",474,"Unintentional","Transport accidents"
"146","V",475,"Unintentional","Transport accidents"
"147","V",476,"Unintentional","Transport accidents"
"148","V",477,"Unintentional","Transport accidents"
"149","V",479,"Unintentional","Transport accidents"
"150","V",480,"Unintentional","Transport accidents"
"490","X",480,"Unintentional","Other external causes of accidental injury"
"609","Y",480,"Unintentional","Complications of medical and surgical care"
"151","V",481,"Unintentional","Transport accidents"
"152","V",482,"Unintentional","Transport accidents"
"153","V",483,"Unintentional","Transport accidents"
"610","Y",483,"Unintentional","Complications of medical and surgical care"
"154","V",484,"Unintentional","Transport accidents"
"611","Y",484,"Unintentional","Complications of medical and surgical care"
"155","V",485,"Unintentional","Transport accidents"
"612","Y",485,"Unintentional","Complications of medical and surgical care"
"156","V",486,"Unintentional","Transport accidents"
"157","V",487,"Unintentional","Transport accidents"
"158","V",489,"Unintentional","Transport accidents"
"159","V",490,"Unintentional","Transport accidents"
"415","W",490,"Unintentional","Other external causes of accidental injury"
"160","V",491,"Unintentional","Transport accidents"
"161","V",492,"Unintentional","Transport accidents"
"162","V",493,"Unintentional","Transport accidents"
"613","Y",493,"Unintentional","Complications of medical and surgical care"
"163","V",494,"Unintentional","Transport accidents"
"614","Y",494,"Unintentional","Complications of medical and surgical care"
"164","V",495,"Unintentional","Transport accidents"
"165","V",496,"Unintentional","Transport accidents"
"615","Y",497,"Unintentional","Complications of medical and surgical care"
"166","V",498,"Unintentional","Transport accidents"
"167","V",499,"Unintentional","Transport accidents"
"416","W",500,"Unintentional","Other external causes of accidental injury"
"492","X",500,"Unintentional","Other external causes of accidental injury"
"168","V",505,"Unintentional","Transport accidents"
"169","V",506,"Unintentional","Transport accidents"
"170","V",507,"Unintentional","Transport accidents"
"171","V",509,"Unintentional","Transport accidents"
"417","W",510,"Unintentional","Other external causes of accidental injury"
"616","Y",520,"Unintentional","Complications of medical and surgical care"
"617","Y",524,"Unintentional","Complications of medical and surgical care"
"172","V",525,"Unintentional","Transport accidents"
"173","V",529,"Unintentional","Transport accidents"
"618","Y",529,"Unintentional","Complications of medical and surgical care"
"174","V",530,"Unintentional","Transport accidents"
"418","W",530,"Unintentional","Other external causes of accidental injury"
"493","X",530,"Unintentional","Other external causes of accidental injury"
"619","Y",530,"Unintentional","Complications of medical and surgical care"
"175","V",533,"Unintentional","Transport accidents"
"176","V",534,"Unintentional","Transport accidents"
"177","V",535,"Unintentional","Transport accidents"
"178","V",536,"Unintentional","Transport accidents"
"620","Y",538,"Unintentional","Complications of medical and surgical care"
"179","V",539,"Unintentional","Transport accidents"
"419","W",540,"Unintentional","Other external causes of accidental injury"
"494","X",540,"Unintentional","Other external causes of accidental injury"
"621","Y",540,"Unintentional","Complications of medical and surgical care"
"180","V",545,"Unintentional","Transport accidents"
"622","Y",545,"Unintentional","Complications of medical and surgical care"
"181","V",546,"Unintentional","Transport accidents"
"623","Y",546,"Unintentional","Complications of medical and surgical care"
"624","Y",548,"Unintentional","Complications of medical and surgical care"
"182","V",549,"Unintentional","Transport accidents"
"183","V",550,"Unintentional","Transport accidents"
"420","W",550,"Unintentional","Other external causes of accidental injury"
"184","V",553,"Unintentional","Transport accidents"
"185","V",555,"Unintentional","Transport accidents"
"186","V",556,"Unintentional","Transport accidents"
"625","Y",556,"Unintentional","Complications of medical and surgical care"
"187","V",559,"Unintentional","Transport accidents"
"626","Y",564,"Unintentional","Complications of medical and surgical care"
"188","V",565,"Unintentional","Transport accidents"
"627","Y",568,"Unintentional","Complications of medical and surgical care"
"189","V",569,"Unintentional","Transport accidents"
"628","Y",569,"Unintentional","Complications of medical and surgical care"
"190","V",570,"Unintentional","Transport accidents"
"421","W",570,"Unintentional","Other external causes of accidental injury"
"495","X",570,"Unintentional","Other external causes of accidental injury"
"191","V",571,"Unintentional","Transport accidents"
"192","V",572,"Unintentional","Transport accidents"
"193","V",575,"Unintentional","Transport accidents"
"629","Y",575,"Unintentional","Complications of medical and surgical care"
"194","V",576,"Unintentional","Transport accidents"
"630","Y",578,"Unintentional","Complications of medical and surgical care"
"195","V",579,"Unintentional","Transport accidents"
"631","Y",579,"Unintentional","Complications of medical and surgical care"
"196","V",580,"Unintentional","Transport accidents"
"496","X",580,"Unintentional","Other external causes of accidental injury"
"197","V",581,"Unintentional","Transport accidents"
"198","V",582,"Unintentional","Transport accidents"
"199","V",583,"Unintentional","Transport accidents"
"200","V",584,"Unintentional","Transport accidents"
"201","V",585,"Unintentional","Transport accidents"
"202","V",586,"Unintentional","Transport accidents"
"203","V",587,"Unintentional","Transport accidents"
"204","V",589,"Unintentional","Transport accidents"
"205","V",590,"Unintentional","Transport accidents"
"422","W",590,"Unintentional","Other external causes of accidental injury"
"497","X",590,"Unintentional","Other external causes of accidental injury"
"206","V",591,"Unintentional","Transport accidents"
"207","V",593,"Unintentional","Transport accidents"
"208","V",594,"Unintentional","Transport accidents"
"209","V",595,"Unintentional","Transport accidents"
"210","V",596,"Unintentional","Transport accidents"
"211","V",598,"Unintentional","Transport accidents"
"212","V",599,"Unintentional","Transport accidents"
"632","Y",599,"Unintentional","Complications of medical and surgical care"
"633","Y",600,"Unintentional","Complications of medical and surgical care"
"634","Y",601,"Unintentional","Complications of medical and surgical care"
"635","Y",602,"Unintentional","Complications of medical and surgical care"
"213","V",603,"Unintentional","Transport accidents"
"636","Y",603,"Unintentional","Complications of medical and surgical care"
"637","Y",604,"Unintentional","Complications of medical and surgical care"
"214","V",605,"Unintentional","Transport accidents"
"638","Y",605,"Unintentional","Complications of medical and surgical care"
"639","Y",606,"Unintentional","Complications of medical and surgical care"
"640","Y",607,"Unintentional","Complications of medical and surgical care"
"641","Y",608,"Unintentional","Complications of medical and surgical care"
"642","Y",609,"Unintentional","Complications of medical and surgical care"
"643","Y",610,"Unintentional","Complications of medical and surgical care"
"644","Y",611,"Unintentional","Complications of medical and surgical care"
"645","Y",616,"Unintentional","Complications of medical and surgical care"
"646","Y",618,"Unintentional","Complications of medical and surgical care"
"647","Y",619,"Unintentional","Complications of medical and surgical care"
"648","Y",623,"Unintentional","Complications of medical and surgical care"
"215","V",625,"Unintentional","Transport accidents"
"649","Y",628,"Unintentional","Complications of medical and surgical care"
"650","Y",632,"Unintentional","Complications of medical and surgical care"
"216","V",635,"Unintentional","Transport accidents"
"217","V",636,"Unintentional","Transport accidents"
"218","V",639,"Unintentional","Transport accidents"
"651","Y",639,"Unintentional","Complications of medical and surgical care"
"219","V",640,"Unintentional","Transport accidents"
"423","W",640,"Unintentional","Other external causes of accidental injury"
"652","Y",640,"Unintentional","Complications of medical and surgical care"
"220","V",645,"Unintentional","Transport accidents"
"221","V",646,"Unintentional","Transport accidents"
"222","V",649,"Unintentional","Transport accidents"
"424","W",650,"Unintentional","Other external causes of accidental injury"
"653","Y",654,"Unintentional","Complications of medical and surgical care"
"223","V",655,"Unintentional","Transport accidents"
"224","V",656,"Unintentional","Transport accidents"
"654","Y",658,"Unintentional","Complications of medical and surgical care"
"425","W",660,"Unintentional","Other external causes of accidental injury"
"225","V",670,"Unintentional","Transport accidents"
"426","W",670,"Unintentional","Other external causes of accidental injury"
"226","V",673,"Unintentional","Transport accidents"
"227","V",675,"Unintentional","Transport accidents"
"228","V",676,"Unintentional","Transport accidents"
"229","V",679,"Unintentional","Transport accidents"
"427","W",680,"Unintentional","Other external causes of accidental injury"
"230","V",681,"Unintentional","Transport accidents"
"231","V",683,"Unintentional","Transport accidents"
"232","V",684,"Unintentional","Transport accidents"
"233","V",685,"Unintentional","Transport accidents"
"234","V",686,"Unintentional","Transport accidents"
"235","V",687,"Unintentional","Transport accidents"
"236","V",689,"Unintentional","Transport accidents"
"428","W",690,"Unintentional","Other external causes of accidental injury"
"655","Y",690,"Unintentional","Complications of medical and surgical care"
"237","V",693,"Unintentional","Transport accidents"
"238","V",694,"Unintentional","Transport accidents"
"239","V",695,"Unintentional","Transport accidents"
"240","V",696,"Unintentional","Transport accidents"
"241","V",698,"Unintentional","Transport accidents"
"242","V",699,"Unintentional","Transport accidents"
"429","W",700,"Unintentional","Other external causes of accidental injury"
"243","V",709,"Unintentional","Transport accidents"
"656","Y",728,"Unintentional","Complications of medical and surgical care"
"430","W",730,"Unintentional","Other external causes of accidental injury"
"657","Y",731,"Unintentional","Complications of medical and surgical care"
"244","V",735,"Unintentional","Transport accidents"
"245","V",736,"Unintentional","Transport accidents"
"246","V",739,"Unintentional","Transport accidents"
"431","W",740,"Unintentional","Other external causes of accidental injury"
"247","V",745,"Unintentional","Transport accidents"
"248","V",746,"Unintentional","Transport accidents"
"249","V",749,"Unintentional","Transport accidents"
"432","W",750,"Unintentional","Other external causes of accidental injury"
"433","W",760,"Unintentional","Other external causes of accidental injury"
"434","W",770,"Unintentional","Other external causes of accidental injury"
"250","V",776,"Unintentional","Transport accidents"
"435","W",780,"Unintentional","Other external causes of accidental injury"
"251","V",784,"Unintentional","Transport accidents"
"252","V",785,"Unintentional","Transport accidents"
"253","V",786,"Unintentional","Transport accidents"
"436","W",790,"Unintentional","Other external causes of accidental injury"
"254","V",793,"Unintentional","Transport accidents"
"255","V",794,"Unintentional","Transport accidents"
"256","V",796,"Unintentional","Transport accidents"
"257","V",798,"Unintentional","Transport accidents"
"258","V",799,"Unintentional","Transport accidents"
"259","V",800,"Unintentional","Transport accidents"
"437","W",800,"Unintentional","Other external causes of accidental injury"
"658","Y",800,"Unintentional","Complications of medical and surgical care"
"260","V",804,"Unintentional","Transport accidents"
"261","V",808,"Unintentional","Transport accidents"
"262","V",809,"Unintentional","Transport accidents"
"263","V",810,"Unintentional","Transport accidents"
"438","W",810,"Unintentional","Other external causes of accidental injury"
"264","V",812,"Unintentional","Transport accidents"
"265","V",813,"Unintentional","Transport accidents"
"266","V",815,"Unintentional","Transport accidents"
"267","V",816,"Unintentional","Transport accidents"
"268","V",817,"Unintentional","Transport accidents"
"269","V",818,"Unintentional","Transport accidents"
"659","Y",818,"Unintentional","Complications of medical and surgical care"
"270","V",819,"Unintentional","Transport accidents"
"660","Y",821,"Unintentional","Complications of medical and surgical care"
"661","Y",823,"Unintentional","Complications of medical and surgical care"
"271","V",824,"Unintentional","Transport accidents"
"662","Y",828,"Unintentional","Complications of medical and surgical care"
"439","W",830,"Unintentional","Other external causes of accidental injury"
"663","Y",830,"Unintentional","Complications of medical and surgical care"
"272","V",831,"Unintentional","Transport accidents"
"664","Y",831,"Unintentional","Complications of medical and surgical care"
"273","V",832,"Unintentional","Transport accidents"
"665","Y",832,"Unintentional","Complications of medical and surgical care"
"274","V",833,"Unintentional","Transport accidents"
"666","Y",833,"Unintentional","Complications of medical and surgical care"
"275","V",834,"Unintentional","Transport accidents"
"667","Y",834,"Unintentional","Complications of medical and surgical care"
"276","V",835,"Unintentional","Transport accidents"
"668","Y",835,"Unintentional","Complications of medical and surgical care"
"277","V",836,"Unintentional","Transport accidents"
"669","Y",836,"Unintentional","Complications of medical and surgical care"
"278","V",837,"Unintentional","Transport accidents"
"670","Y",838,"Unintentional","Complications of medical and surgical care"
"279","V",839,"Unintentional","Transport accidents"
"671","Y",839,"Unintentional","Complications of medical and surgical care"
"280","V",840,"Unintentional","Transport accidents"
"440","W",840,"Unintentional","Other external causes of accidental injury"
