"year","cause","sex","deathsmin","deaths25","deaths50","deaths75","deathsmax"
1994,"Cardiopulmonary",2,865,2642,8160,14608,59472
1994,"External",1,169,767,1632,2543,12912
1994,"External",2,72,276,713,1064,4355
1994,"Other",1,275,1232,2855,4851,23509
1994,"Other",2,314,1246,3157,5321,17431
1995,"Cancer",1,473,1579,4063,6801,26742
1995,"Cancer",2,434,1378,3588,6013,25285
1995,"Cardiopulmonary",1,932,2818,8564,12866,54322
1995,"Cardiopulmonary",2,849,2833,8430,15086,59654
1995,"External",1,213,757,1663,2468,12460
1995,"External",2,75,296,732,1059,4217
1995,"Other",1,325,1273,3060,4985,23607
1995,"Other",2,368,1365,3305,5577,17832
1996,"Cancer",1,458,1561,4149,6722,26316
1996,"Cancer",2,426,1426,3623,6120,25414
1996,"Cardiopulmonary",1,831,2859,8499,12821,55030
1996,"Cardiopulmonary",2,891,2925,8666,15214,60636
1996,"External",1,193,799,1549,2492,11823
1996,"External",2,91,309,760,1118,4253
1996,"Other",1,288,1316,2994,5074,21318
1996,"Other",2,360,1325,3513,5589,18564
1997,"Cancer",1,466,1554,4170,6846,26992
1997,"Cancer",2,397,1462,3708,6240,25708
1997,"Cardiopulmonary",1,936,2906,8317,13057,56147
1997,"Cardiopulmonary",2,885,2985,8814,15115,61946
1997,"External",1,178,802,1622,2461,11228
1997,"External",2,103,351,769,1104,4180
1997,"Other",1,324,1307,3038,4748,19304
1997,"Other",2,374,1363,3639,5859,18994
1998,"Cancer",1,437,1527,4147,6814,26702
1998,"Cancer",2,419,1434,3666,6241,25369
1998,"Cardiopulmonary",1,887,2895,8307,13125,57474
1998,"Cardiopulmonary",2,983,3209,8954,15282,63449
1998,"External",1,225,813,1641,2438,11023
1998,"External",2,88,370,787,1168,4203
1998,"Other",1,360,1339,3090,4977,19248
1998,"Other",2,432,1480,3877,6101,19377
1999,"Cancer",1,498,1577,4469,7138,27745
1999,"Cancer",2,425,1537,3775,6346,26449
1999,"Cardiopulmonary",1,950,3020,8339,12732,54752
1999,"Cardiopulmonary",2,961,3175,9146,15044,61950
1999,"External",1,193,794,1559,2290,9478
1999,"External",2,62,342,772,1124,3806
1999,"Other",1,364,1514,3403,5325,22442
1999,"Other",2,472,1649,4273,6616,22677
2000,"Cancer",1,450,1577,4602,7120,27418
2000,"Cancer",2,439,1558,3808,6668,26917
2000,"Cardiopulmonary",1,924,2806,8252,12775,55304
2000,"Cardiopulmonary",2,897,3162,8710,15142,61662
2000,"External",1,216,807,1575,2303,9268
2000,"External",2,91,340,778,1155,3605
2000,"Other",1,374,1535,3465,5609,22679
2000,"Other",2,502,1668,4526,7057,22590
2001,"Cancer",1,512,1645,4677,6962,27839
2001,"Cancer",2,442,1480,3768,6685,27255
2001,"Cardiopulmonary",1,856,2982,7968,12314,54909
2001,"Cardiopulmonary",2,928,3116,8553,14788,62046
2001,"External",1,190,806,1762,2440,9239
2001,"External",2,86,364,814,1162,3495
2001,"Other",1,410,1714,3562,5687,24665
2001,"Other",2,512,1859,4631,7291,24493
2002,"Cancer",1,445,1716,4618,7036,28187
2002,"Cancer",2,428,1575,3867,6644,27213
2002,"Cardiopulmonary",1,928,2935,8107,12817,55303
2002,"Cardiopulmonary",2,932,2963,8778,14661,61370
2002,"External",1,225,838,1783,2408,10568
2002,"External",2,101,405,844,1166,4326
2002,"Other",1,472,1745,3898,6097,23434
2002,"Other",2,554,1906,4876,7725,24095
2003,"Cancer",1,518,1719,4660,6907,28159
2003,"Cancer",2,446,1581,4059,6774,27448
2003,"Cardiopulmonary",1,900,2983,8141,12343,56248
2003,"Cardiopulmonary",2,904,3030,8701,14353,61694
2003,"External",1,199,884,1817,2541,11056
2003,"External",2,92,384,854,1167,4500
2003,"Other",1,440,1816,3851,6031,24672
2003,"Other",2,563,2094,4985,7978,25512
2004,"Cancer",1,460,1662,4616,6808,28042
2004,"Cancer",2,443,1542,3910,6572,26869
2004,"Cardiopulmonary",1,853,2837,7964,11811,53203
2004,"Cardiopulmonary",2,911,2894,8126,13651,58428
2004,"External",1,229,907,1664,2478,11013
2004,"External",2,84,408,855,1252,4617
2004,"Other",1,421,1894,3824,5928,24674
2004,"Other",2,515,2029,4715,7889,25622
2005,"Cancer",1,466,1747,4600,7017,28519
2005,"Cancer",2,445,1581,4042,6779,27415
2005,"Cardiopulmonary",1,871,3025,8092,11861,53241
2005,"Cardiopulmonary",2,873,2983,8208,13530,58026
2005,"External",1,228,850,1753,2842,11363
2005,"External",2,101,385,851,1322,4596
2005,"Other",1,495,1900,4070,6352,26530
2005,"Other",2,538,2142,5077,8279,27299
2006,"Cancer",1,515,1716,4792,7145,28155
2006,"Cancer",2,437,1531,4194,6837,27301
2006,"Cardiopulmonary",1,928,2907,7868,11872,53214
2006,"Cardiopulmonary",2,937,3013,7707,12835,56564
2006,"External",1,229,952,1761,2657,11593
2006,"External",2,88,468,906,1331,4553
2006,"Other",1,499,2044,4269,6395,27015
2006,"Other",2,579,2295,5371,8294,28686
2007,"Cancer",1,496,1785,4806,7330,28876
2007,"Cancer",2,472,1539,4117,6608,27476
2007,"Cardiopulmonary",1,888,2989,7792,11490,50882
2007,"Cardiopulmonary",2,877,2911,7920,12826,54207
2007,"External",1,241,947,1729,2675,11468
2007,"External",2,103,484,955,1341,4717
2007,"Other",1,548,2084,4343,6637,27300
2007,"Other",2,591,2444,5406,8544,28751
2008,"Cancer",1,483,1775,4934,7322,28585
2008,"Cancer",2,417,1599,4265,6645,27431
2008,"Cardiopulmonary",1,849,2979,8053,12065,50893
2008,"Cardiopulmonary",2,909,3008,8017,13372,53672
2008,"External",1,247,976,1839,2638,10961
2008,"External",2,92,474,929,1307,4445
2008,"Other",1,521,2192,4678,6809,28024
2008,"Other",2,594,2528,5971,8831,30720
2009,"Cancer",1,508,1755,5008,7465,29361
2009,"Cancer",2,447,1526,4172,6824,27909
2009,"Cardiopulmonary",1,915,2873,7805,11571,50254
2009,"Cardiopulmonary",2,854,2835,7957,12434,51559
2009,"External",1,225,899,1912,2610,10739
2009,"External",2,79,380,881,1271,4565
2009,"Other",1,524,2256,4916,6833,28030
2009,"Other",2,598,2503,6110,8631,30289
2010,"Cancer",1,523,1838,5068,7562,29643
2010,"Cancer",2,500,1620,4322,6565,28177
2010,"Cardiopulmonary",1,882,2979,7905,11624,49841
2010,"Cardiopulmonary",2,902,2959,8010,12433,51460
2010,"External",1,245,977,1898,2585,10311
2010,"External",2,90,506,895,1297,4506
2010,"Other",1,511,2384,5022,7153,28565
2010,"Other",2,625,2472,6294,8986,31481
2011,"Cancer",1,516,1820,5137,7492,29883
2011,"Cancer",2,428,1620,4301,6526,27964
2011,"Cardiopulmonary",1,878,3009,8044,11805,51093
2011,"Cardiopulmonary",2,823,2934,8078,12372,52523
2011,"External",1,218,1053,1994,2706,10562
2011,"External",2,94,521,949,1380,4722
2011,"Other",1,567,2397,5106,7616,30008
2011,"Other",2,657,2726,6491,9636,33165
2012,"Cancer",1,506,1871,5101,7638,30358
2012,"Cancer",2,467,1610,4361,6581,28695
2012,"Cardiopulmonary",1,902,3037,7745,11993,51351
2012,"Cardiopulmonary",2,862,2882,7847,12418,51703
2012,"External",1,204,1035,1995,2667,10718
2012,"External",2,79,548,1045,1341,4670
2012,"Other",1,570,2470,5319,7958,30966
2012,"Other",2,640,2677,6768,10032,34076
2013,"Cancer",1,528,1853,5154,7750,30566
2013,"Cancer",2,459,1622,4385,6553,28503
2013,"Cardiopulmonary",1,968,3053,8224,12313,53219
2013,"Cardiopulmonary",2,830,2991,8208,12704,52691
2013,"External",1,202,1062,2060,2743,11027
2013,"External",2,100,503,992,1399,4762
2013,"Other",1,564,2572,5489,8142,32311
2013,"Other",2,686,2774,6780,10199,35256
2014,"Cancer",1,514,1927,5212,7817,30978
2014,"Cancer",2,443,1648,4468,6661,28790
2014,"Cardiopulmonary",1,929,3162,8383,12356,51641
2014,"Cardiopulmonary",2,898,3058,8236,12661,50303
2014,"External",1,217,1080,2049,2784,11214
2014,"External",2,105,525,1040,1478,4828
2014,"Other",1,618,2719,5814,8502,32580
2014,"Other",2,693,2748,7052,10290,35574
2015,"Cancer",1,500,1894,5264,7889,31697
2015,"Cancer",2,465,1719,4350,6676,29342
2015,"Cardiopulmonary",1,988,3390,8717,12876,54756
2015,"Cardiopulmonary",2,909,3170,8577,12955,53804
2015,"External",1,263,1157,2168,2927,11687
2015,"External",2,93,599,1074,1565,5023
2015,"Other",1,695,2779,5993,9344,34934
2015,"Other",2,690,2813,6679,10989,37949
2016,"Cancer",1,518,1852,5142,8041,31547
2016,"Cancer",2,440,1721,4228,6746,29394
2016,"Cardiopulmonary",1,990,3321,8465,12746,55473
2016,"Cardiopulmonary",2,862,3226,8431,12802,54008
2016,"External",1,271,1208,2220,3182,12495
2016,"External",2,121,623,1131,1635,5241
2016,"Other",1,641,2977,5922,9354,35723
2016,"Other",2,698,2887,7120,11053,38335
