Sex,Cause,0-4,May-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,All ages
Male,Drownings,"  22.0 (  15.0,  29.0)","  22.0 (  17.0,  28.0)","  75.0 (  68.0,  82.0)","  55.0 (  46.0,  65.0)","  30.0 (  22.0,  38.0)","  24.0 (  14.0,  33.0)","  21.0 (  11.0,  30.0)","  14.0 (   7.0,  23.0)","   7.0 (   2.0,  11.0)","   1.0 (   0.0,   3.0)"," 271.0 ( 249.0, 295.0)"
Male,Assault,"   3.0 (  -4.0,  10.0)","   3.0 (  -1.0,   7.0)","  73.0 (  37.0, 111.0)"," 104.0 (  67.0, 142.0)","  34.0 (  10.0,  58.0)","  25.0 (   4.0,  46.0)","  26.0 (  10.0,  42.0)","   6.0 (  -1.0,  12.0)","   2.0 (  -1.0,   5.0)","   1.0 (  -1.0,   3.0)"," 278.0 ( 223.0, 329.0)"
Male,Intentional self-harm,"   0.0 (   0.0,   0.0)","   7.0 (   0.0,  14.0)","  45.0 (   4.0,  94.0)","  96.0 (  48.0, 136.0)"," 104.0 (  72.0, 140.0)","  78.0 (  26.0, 120.0)"," 125.0 (  75.0, 171.0)","  62.0 (  24.0,  95.0)","  30.0 (   6.0,  49.0)","  20.0 (   1.0,  36.0)"," 567.0 ( 451.0, 691.0)"
Male,Intentional,"   3.0 (  -4.0,  10.0)","  10.0 (   2.0,  18.0)"," 119.0 (  71.0, 176.0)"," 200.0 ( 135.0, 257.0)"," 138.0 (  95.0, 183.0)"," 102.0 (  47.0, 152.0)"," 151.0 ( 101.0, 200.0)","  68.0 (  26.0, 103.0)","  32.0 (   8.0,  52.0)","  21.0 (   2.0,  37.0)"," 844.0 ( 699.0, 981.0)"
Male,Unintentional,"  34.0 (  26.0,  43.0)","  35.0 (  25.0,  44.0)"," 235.0 ( 203.0, 269.0)"," 218.0 ( 179.0, 256.0)"," 134.0 ( 104.0, 167.0)"," 175.0 ( 134.0, 210.0)"," 165.0 ( 118.0, 207.0)","  52.0 (   2.0,  93.0)"," -23.0 ( -72.0,  18.0)"," -82.0 (-141.0, -18.0)"," 943.0 ( 828.0,1083.0)"
Male,All injuries,"  37.0 (  26.0,  47.0)","  45.0 (  32.0,  58.0)"," 353.0 ( 294.0, 408.0)"," 418.0 ( 342.0, 490.0)"," 272.0 ( 218.0, 334.0)"," 278.0 ( 207.0, 349.0)"," 316.0 ( 250.0, 393.0)"," 120.0 (  59.0, 175.0)","   9.0 ( -56.0,  63.0)"," -61.0 (-122.0,  12.0)","1787.0 (1584.0,1982.0)"
Female,Transport,"   4.0 (  -2.0,   9.0)","  10.0 (   5.0,  15.0)","  36.0 (  16.0,  55.0)","  13.0 (  -7.0,  35.0)","  13.0 (   0.0,  30.0)","  10.0 (  -7.0,  32.0)","  10.0 (  -9.0,  27.0)","  25.0 (   8.0,  41.0)","  17.0 (   3.0,  31.0)","  12.0 (   1.0,  22.0)"," 150.0 (  99.0, 210.0)"
Female,Falls,"   0.0 (   0.0,   1.0)","   0.0 (   0.0,   1.0)","   1.0 (   0.0,   1.0)","   2.0 (   0.0,   3.0)","   1.0 (  -3.0,   5.0)","   2.0 (  -6.0,  10.0)","   6.0 (  -8.0,  22.0)","  -2.0 ( -25.0,  24.0)","  -2.0 ( -41.0,  34.0)"," -82.0 (-156.0,   3.0)"," -74.0 (-173.0,  32.0)"
Female,Drownings,"   8.0 (   4.0,  12.0)","   6.0 (   4.0,   9.0)","   3.0 (   1.0,   5.0)","   6.0 (   3.0,   8.0)","   4.0 (   2.0,   7.0)","   4.0 (   1.0,   7.0)","   4.0 (   0.0,   8.0)","   3.0 (   0.0,   7.0)","   2.0 (   0.0,   4.0)","   1.0 (  -1.0,   2.0)","  41.0 (  32.0,  51.0)"
Female,Assault,"   6.0 (   1.0,  12.0)","   4.0 (   1.0,   6.0)","  18.0 (  10.0,  27.0)","   9.0 (  -5.0,  21.0)","  15.0 (   7.0,  23.0)","  11.0 (   2.0,  21.0)","   7.0 (  -2.0,  15.0)","   5.0 (  -1.0,  11.0)","   1.0 (  -2.0,   4.0)","   2.0 (   0.0,   3.0)","  76.0 (  52.0, 100.0)"
Female,Intentional self-harm,"   0.0 (   0.0,   0.0)","   7.0 (   2.0,  10.0)","  18.0 (   1.0,  35.0)","  31.0 (  13.0,  51.0)","  28.0 (   6.0,  45.0)","  14.0 (  -6.0,  43.0)","  24.0 (   1.0,  45.0)","  23.0 (   7.0,  39.0)","   5.0 (   1.0,   8.0)","   4.0 (   0.0,   7.0)"," 154.0 ( 102.0, 203.0)"
Female,Intentional,"   6.0 (   1.0,  12.0)","  10.0 (   6.0,  15.0)","  36.0 (  18.0,  54.0)","  40.0 (  17.0,  60.0)","  43.0 (  21.0,  63.0)","  25.0 (   1.0,  52.0)","  31.0 (   9.0,  54.0)","  27.0 (  11.0,  44.0)","   6.0 (   2.0,  10.0)","   6.0 (   2.0,   9.0)"," 230.0 ( 171.0, 291.0)"
Female,Unintentional,"  12.0 (   5.0,  19.0)","  17.0 (  11.0,  22.0)","  39.0 (  20.0,  59.0)","  21.0 (   0.0,  41.0)","  18.0 (   6.0,  36.0)","  16.0 (  -2.0,  37.0)","  20.0 (   1.0,  42.0)","  27.0 (   1.0,  58.0)","  17.0 ( -26.0,  60.0)"," -70.0 (-144.0,  12.0)"," 118.0 ( -10.0, 232.0)"
Female,All injuries,"  18.0 (   9.0,  27.0)","  27.0 (  19.0,  35.0)","  75.0 (  47.0, 107.0)","  61.0 (  34.0,  94.0)","  61.0 (  35.0,  90.0)","  41.0 (  12.0,  71.0)","  51.0 (  19.0,  88.0)","  55.0 (  19.0,  85.0)","  23.0 ( -21.0,  62.0)"," -64.0 (-136.0,  18.0)"," 348.0 ( 219.0, 486.0)"
