"","cause.group","letter","sex","n","percentage","age.long","agegroup","description","sex.long"
"37","Cancer","D",2,4374,9.9,"85+",85,"Blood/Immune","Women"
"38","Cancer","D",1,3422,5,"75-84",75,"Blood/Immune","Men"
"39","Cancer","D",1,126,37.3,"0-4",0,"Blood/Immune","Men"
"40","Cancer","D",2,12391,5.2,"All ages",-1,"Blood/Immune","Women"
"41","Cancer","D",1,352,6.9,"35-44",35,"Blood/Immune","Men"
"42","Cancer","D",1,3130,8.1,"85+",85,"Blood/Immune","Men"
"43","Cancer","D",1,2433,3.4,"65-74",65,"Blood/Immune","Men"
"44","Cancer","D",2,332,5.1,"35-44",35,"Blood/Immune","Women"
"45","Cardiopulmonary","I",1,25729,85.3,"45-54",45,"Circulatory","Men"
"46","Cardiopulmonary","I",2,129,44.5,"5-14",5,"Circulatory","Women"
"47","Cardiopulmonary","I",1,2713,82.1,"25-34",25,"Circulatory","Men"
"48","Cardiopulmonary","I",2,12995,75.5,"45-54",45,"Circulatory","Women"
"49","Cardiopulmonary","I",2,273079,73.1,"All ages",-1,"Circulatory","Women"
"50","Cardiopulmonary","I",1,8371,87.8,"35-44",35,"Circulatory","Men"
"51","Cardiopulmonary","I",2,41468,66.6,"65-74",65,"Circulatory","Women"
"52","Cardiopulmonary","I",1,48498,79.1,"55-64",55,"Circulatory","Men"
"53","Cardiopulmonary","I",2,424,67.2,"15-24",15,"Circulatory","Women"
"54","Cardiopulmonary","I",2,74559,71.1,"75-84",75,"Circulatory","Women"
"55","Cardiopulmonary","I",2,291,45.5,"0-4",0,"Circulatory","Women"
"56","Cardiopulmonary","I",1,71794,73.8,"85+",85,"Circulatory","Men"
"57","Cardiopulmonary","I",1,77155,71,"75-84",75,"Circulatory","Men"
"58","Cardiopulmonary","I",1,61197,72.4,"65-74",65,"Circulatory","Men"
"59","Cardiopulmonary","I",1,147,42.2,"5-14",5,"Circulatory","Men"
"60","Cardiopulmonary","I",2,111711,77.8,"85+",85,"Circulatory","Women"
"61","Cardiopulmonary","I",1,379,44.8,"0-4",0,"Circulatory","Men"
"62","Cardiopulmonary","I",1,296773,74.7,"All ages",-1,"Circulatory","Men"
"63","Cardiopulmonary","I",2,25766,70.4,"55-64",55,"Circulatory","Women"
"64","Cardiopulmonary","I",2,1428,75.8,"25-34",25,"Circulatory","Women"
"65","Cardiopulmonary","I",1,790,72.8,"15-24",15,"Circulatory","Men"
"66","Cardiopulmonary","I",2,4308,79.4,"35-44",35,"Circulatory","Women"
"67","Cardiopulmonary","J",1,1159,12.2,"35-44",35,"Respiratory","Men"
"68","Cardiopulmonary","J",1,4424,14.7,"45-54",45,"Respiratory","Men"
"69","Cardiopulmonary","J",2,161,55.5,"5-14",5,"Respiratory","Women"
"70","Cardiopulmonary","J",2,207,32.8,"15-24",15,"Respiratory","Women"
"71","Cardiopulmonary","J",1,31542,29,"75-84",75,"Respiratory","Men"
"72","Cardiopulmonary","J",2,4223,24.5,"45-54",45,"Respiratory","Women"
"73","Cardiopulmonary","J",1,201,57.8,"5-14",5,"Respiratory","Men"
"74","Cardiopulmonary","J",1,590,17.9,"25-34",25,"Respiratory","Men"
"75","Cardiopulmonary","J",2,20779,33.4,"65-74",65,"Respiratory","Women"
"76","Cardiopulmonary","J",1,100263,25.3,"All ages",-1,"Respiratory","Men"
"77","Cardiopulmonary","J",2,100352,26.9,"All ages",-1,"Respiratory","Women"
"78","Cardiopulmonary","J",2,457,24.2,"25-34",25,"Respiratory","Women"
"79","Cardiopulmonary","J",1,295,27.2,"15-24",15,"Respiratory","Men"
"80","Cardiopulmonary","J",2,10854,29.6,"55-64",55,"Respiratory","Women"
"81","Cardiopulmonary","J",1,25428,26.2,"85+",85,"Respiratory","Men"
"82","Cardiopulmonary","J",1,23363,27.6,"65-74",65,"Respiratory","Men"
"83","Cardiopulmonary","J",2,31916,22.2,"85+",85,"Respiratory","Women"
"84","Cardiopulmonary","J",2,1119,20.6,"35-44",35,"Respiratory","Women"
"85","Cardiopulmonary","J",1,467,55.2,"0-4",0,"Respiratory","Men"
"86","Cardiopulmonary","J",1,12794,20.9,"55-64",55,"Respiratory","Men"
"87","Cardiopulmonary","J",2,30288,28.9,"75-84",75,"Respiratory","Women"
"88","Cardiopulmonary","J",2,348,54.5,"0-4",0,"Respiratory","Women"
"89","External","V",1,4165,20.1,"45-54",45,"Transport","Men"
"90","External","V",2,1452,15,"45-54",45,"Transport","Women"
"91","External","V",2,364,43.6,"5-14",5,"Transport","Women"
"92","External","V",1,4731,32,"15-24",15,"Transport","Men"
"93","External","V",1,4553,23.6,"25-34",25,"Transport","Men"
"94","External","V",1,25861,21.3,"All ages",-1,"Transport","Men"
"95","External","V",2,1893,41,"15-24",15,"Transport","Women"
"96","External","V",2,10478,17.4,"All ages",-1,"Transport","Women"
"97","External","V",2,1217,17.2,"35-44",35,"Transport","Women"
"98","External","V",2,1022,19.8,"65-74",65,"Transport","Women"
"99","External","V",1,1488,15.1,"75-84",75,"Transport","Men"
"100","External","V",1,3522,20.7,"35-44",35,"Transport","Men"
"101","External","V",1,519,37.4,"5-14",5,"Transport","Men"
"102","External","V",2,546,5.3,"85+",85,"Transport","Women"
"103","External","V",2,1305,16.7,"55-64",55,"Transport","Women"
"104","External","V",1,3632,20.6,"55-64",55,"Transport","Men"
"105","External","V",1,284,14.9,"0-4",0,"Transport","Men"
"106","External","V",2,1490,23.6,"25-34",25,"Transport","Women"
"107","External","V",2,219,17.2,"0-4",0,"Transport","Women"
"108","External","V",1,2233,21.1,"65-74",65,"Transport","Men"
"109","External","V",2,970,13.7,"75-84",75,"Transport","Women"
"110","External","V",1,734,8.8,"85+",85,"Transport","Men"
"111","External","W",2,156,3.4,"15-24",15,"Slipping/Tripping/Exposure","Women"
"112","External","W",2,103,12.4,"5-14",5,"Slipping/Tripping/Exposure","Women"
"113","External","W",1,4731,48,"75-84",75,"Slipping/Tripping/Exposure","Men"
"114","External","W",1,1069,5.6,"25-34",25,"Slipping/Tripping/Exposure","Men"
"115","External","W",1,909,6.1,"15-24",15,"Slipping/Tripping/Exposure","Men"
"116","External","W",1,2060,10,"45-54",45,"Slipping/Tripping/Exposure","Men"
"117","External","W",2,1131,14.4,"55-64",55,"Slipping/Tripping/Exposure","Women"
"118","External","W",1,1152,6.8,"35-44",35,"Slipping/Tripping/Exposure","Men"
"119","External","W",1,22153,18.2,"All ages",-1,"Slipping/Tripping/Exposure","Men"
"120","External","W",2,7020,68.7,"85+",85,"Slipping/Tripping/Exposure","Women"
"121","External","W",2,315,4.5,"35-44",35,"Slipping/Tripping/Exposure","Women"
"122","External","W",1,5127,61.7,"85+",85,"Slipping/Tripping/Exposure","Men"
"123","External","W",1,290,20.9,"5-14",5,"Slipping/Tripping/Exposure","Men"
"124","External","W",2,183,2.9,"25-34",25,"Slipping/Tripping/Exposure","Women"
"125","External","W",2,633,49.7,"0-4",0,"Slipping/Tripping/Exposure","Women"
"126","External","W",2,4084,57.7,"75-84",75,"Slipping/Tripping/Exposure","Women"
"127","External","W",2,685,7.1,"45-54",45,"Slipping/Tripping/Exposure","Women"
"128","External","W",2,16086,26.8,"All ages",-1,"Slipping/Tripping/Exposure","Women"
"129","External","W",1,2763,15.7,"55-64",55,"Slipping/Tripping/Exposure","Men"
"130","External","W",2,1776,34.4,"65-74",65,"Slipping/Tripping/Exposure","Women"
"131","External","W",1,1010,53,"0-4",0,"Slipping/Tripping/Exposure","Men"
"132","External","W",1,3042,28.7,"65-74",65,"Slipping/Tripping/Exposure","Men"
"133","External","X",1,8573,58,"15-24",15,"Exposure/Suicide","Men"
"134","External","X",2,305,36.6,"5-14",5,"Exposure/Suicide","Women"
"135","External","X",2,4968,70.3,"35-44",35,"Exposure/Suicide","Women"
"136","External","X",1,12654,65.7,"25-34",25,"Exposure/Suicide","Men"
"137","External","X",2,2345,50.8,"15-24",15,"Exposure/Suicide","Women"
"138","External","X",2,2108,20.6,"85+",85,"Exposure/Suicide","Women"
"139","External","X",2,155,12.2,"0-4",0,"Exposure/Suicide","Women"
"140","External","X",1,11284,66.3,"35-44",35,"Exposure/Suicide","Men"
"141","External","X",1,497,35.9,"5-14",5,"Exposure/Suicide","Men"
"142","External","X",2,28779,47.9,"All ages",-1,"Exposure/Suicide","Women"
"143","External","X",2,4651,59.4,"55-64",55,"Exposure/Suicide","Women"
"144","External","X",1,2072,24.9,"85+",85,"Exposure/Suicide","Men"
"145","External","X",2,6743,69.8,"45-54",45,"Exposure/Suicide","Women"
"146","External","X",1,65926,54.3,"All ages",-1,"Exposure/Suicide","Men"
"147","External","X",1,222,11.7,"0-4",0,"Exposure/Suicide","Men"
"148","External","X",1,9942,56.4,"55-64",55,"Exposure/Suicide","Men"
"149","External","X",2,1860,36,"65-74",65,"Exposure/Suicide","Women"
"150","External","X",2,4170,66,"25-34",25,"Exposure/Suicide","Women"
"151","External","X",2,1474,20.8,"75-84",75,"Exposure/Suicide","Women"
"152","External","X",1,3074,31.2,"75-84",75,"Exposure/Suicide","Men"
"153","External","X",1,13110,63.4,"45-54",45,"Exposure/Suicide","Men"
"154","External","X",1,4498,42.5,"65-74",65,"Exposure/Suicide","Men"
"155","External","Y",1,976,5.1,"25-34",25,"War/Terrorism/Medical Misadventures","Men"
"156","External","Y",2,502,9.7,"65-74",65,"War/Terrorism/Medical Misadventures","Women"
"157","External","Y",2,783,8.1,"45-54",45,"War/Terrorism/Medical Misadventures","Women"
"158","External","Y",1,376,4.5,"85+",85,"War/Terrorism/Medical Misadventures","Men"
"159","External","Y",2,266,20.9,"0-4",0,"War/Terrorism/Medical Misadventures","Women"
"160","External","Y",1,80,5.8,"5-14",5,"War/Terrorism/Medical Misadventures","Men"
"161","External","Y",2,542,5.3,"85+",85,"War/Terrorism/Medical Misadventures","Women"
"162","External","Y",2,479,7.6,"25-34",25,"War/Terrorism/Medical Misadventures","Women"
"163","External","Y",2,4720,7.9,"All ages",-1,"War/Terrorism/Medical Misadventures","Women"
"164","External","Y",1,575,3.9,"15-24",15,"War/Terrorism/Medical Misadventures","Men"
"165","External","Y",1,1336,6.5,"45-54",45,"War/Terrorism/Medical Misadventures","Men"
"166","External","Y",1,558,5.7,"75-84",75,"War/Terrorism/Medical Misadventures","Men"
"167","External","Y",2,62,7.4,"5-14",5,"War/Terrorism/Medical Misadventures","Women"
"168","External","Y",1,1057,6.2,"35-44",35,"War/Terrorism/Medical Misadventures","Men"
"169","External","Y",2,568,8,"35-44",35,"War/Terrorism/Medical Misadventures","Women"
"170","External","Y",2,223,4.8,"15-24",15,"War/Terrorism/Medical Misadventures","Women"
"171","External","Y",2,552,7.8,"75-84",75,"War/Terrorism/Medical Misadventures","Women"
"172","External","Y",2,743,9.5,"55-64",55,"War/Terrorism/Medical Misadventures","Women"
"173","External","Y",1,389,20.4,"0-4",0,"War/Terrorism/Medical Misadventures","Men"
"174","External","Y",1,821,7.7,"65-74",65,"War/Terrorism/Medical Misadventures","Men"
"175","External","Y",1,1304,7.4,"55-64",55,"War/Terrorism/Medical Misadventures","Men"
"176","External","Y",1,7472,6.2,"All ages",-1,"War/Terrorism/Medical Misadventures","Men"
"177","Other","A",2,23772,8.2,"All ages",-1,"Infectious/Parasitic I","Women"
"178","Other","A",2,86,5.7,"15-24",15,"Infectious/Parasitic I","Women"
"179","Other","A",1,104,4.9,"15-24",15,"Infectious/Parasitic I","Men"
"180","Other","A",2,200,5.6,"25-34",25,"Infectious/Parasitic I","Women"
"181","Other","A",2,215,2.4,"0-4",0,"Infectious/Parasitic I","Women"
"182","Other","A",2,500,7.4,"35-44",35,"Infectious/Parasitic I","Women"
"183","Other","A",1,43,5.6,"5-14",5,"Infectious/Parasitic I","Men"
"184","Other","A",1,240,5.2,"25-34",25,"Infectious/Parasitic I","Men"
"185","Other","A",1,4689,9.5,"65-74",65,"Infectious/Parasitic I","Men"
"186","Other","A",2,38,5.9,"5-14",5,"Infectious/Parasitic I","Women"
"187","Other","A",1,3317,7.5,"55-64",55,"Infectious/Parasitic I","Men"
"188","Other","A",2,7376,7.2,"85+",85,"Infectious/Parasitic I","Women"
"189","Other","A",1,506,5.4,"35-44",35,"Infectious/Parasitic I","Men"
"190","Other","A",2,4474,10.4,"65-74",65,"Infectious/Parasitic I","Women"
"191","Other","A",2,2876,9.7,"55-64",55,"Infectious/Parasitic I","Women"
"192","Other","A",1,4734,7.7,"85+",85,"Infectious/Parasitic I","Men"
"193","Other","A",2,6660,8.9,"75-84",75,"Infectious/Parasitic I","Women"
"194","Other","A",1,1533,5.9,"45-54",45,"Infectious/Parasitic I","Men"
"195","Other","A",1,21254,7.7,"All ages",-1,"Infectious/Parasitic I","Men"
"196","Other","A",1,5798,8.7,"75-84",75,"Infectious/Parasitic I","Men"
"197","Other","A",1,290,2.6,"0-4",0,"Infectious/Parasitic I","Men"
"198","Other","A",2,1347,7.9,"45-54",45,"Infectious/Parasitic I","Women"
"199","Other","B",1,126,5.9,"15-24",15,"Infectious/Parasitic II","Men"
"200","Other","B",2,5995,2.1,"All ages",-1,"Infectious/Parasitic II","Women"
"201","Other","B",2,13,2,"5-14",5,"Infectious/Parasitic II","Women"
"202","Other","B",1,1082,11.5,"35-44",35,"Infectious/Parasitic II","Men"
"203","Other","B",1,517,11.1,"25-34",25,"Infectious/Parasitic II","Men"
"204","Other","B",1,1529,3.1,"65-74",65,"Infectious/Parasitic II","Men"
"205","Other","B",1,23,3,"5-14",5,"Infectious/Parasitic II","Men"
"206","Other","B",1,88,0.8,"0-4",0,"Infectious/Parasitic II","Men"
"207","Other","B",2,714,1,"75-84",75,"Infectious/Parasitic II","Women"
"208","Other","B",2,48,3.2,"15-24",15,"Infectious/Parasitic II","Women"
"209","Other","B",2,530,0.5,"85+",85,"Infectious/Parasitic II","Women"
"210","Other","B",2,531,7.9,"35-44",35,"Infectious/Parasitic II","Women"
"211","Other","B",1,697,1,"75-84",75,"Infectious/Parasitic II","Men"
"212","Other","B",1,337,0.5,"85+",85,"Infectious/Parasitic II","Men"
"213","Other","B",1,11493,4.2,"All ages",-1,"Infectious/Parasitic II","Men"
"214","Other","B",2,77,0.8,"0-4",0,"Infectious/Parasitic II","Women"
"215","Other","B",1,3075,11.9,"45-54",45,"Infectious/Parasitic II","Men"
"216","Other","B",2,222,6.2,"25-34",25,"Infectious/Parasitic II","Women"
"217","Other","B",1,4019,9.1,"55-64",55,"Infectious/Parasitic II","Men"
"218","Other","B",2,906,2.1,"65-74",65,"Infectious/Parasitic II","Women"
"219","Other","B",2,1281,7.6,"45-54",45,"Infectious/Parasitic II","Women"
"220","Other","B",2,1673,5.6,"55-64",55,"Infectious/Parasitic II","Women"
"221","Other","E",1,811,17.5,"25-34",25,"Endocrine/Nutritional/Metabolic","Men"
"222","Other","E",1,101,13.1,"5-14",5,"Endocrine/Nutritional/Metabolic","Men"
"223","Other","E",1,181,1.6,"0-4",0,"Endocrine/Nutritional/Metabolic","Men"
"224","Other","E",2,48730,16.9,"All ages",-1,"Endocrine/Nutritional/Metabolic","Women"
"225","Other","E",1,314,14.7,"15-24",15,"Endocrine/Nutritional/Metabolic","Men"
"226","Other","E",1,12313,18.5,"75-84",75,"Endocrine/Nutritional/Metabolic","Men"
"227","Other","E",2,237,15.8,"15-24",15,"Endocrine/Nutritional/Metabolic","Women"
"228","Other","E",1,1883,20,"35-44",35,"Endocrine/Nutritional/Metabolic","Men"
"229","Other","E",2,1280,19,"35-44",35,"Endocrine/Nutritional/Metabolic","Women"
"230","Other","E",2,12359,16.4,"75-84",75,"Endocrine/Nutritional/Metabolic","Women"
"231","Other","E",2,584,16.3,"25-34",25,"Endocrine/Nutritional/Metabolic","Women"
"232","Other","E",2,14417,14.2,"85+",85,"Endocrine/Nutritional/Metabolic","Women"
"233","Other","E",2,137,1.5,"0-4",0,"Endocrine/Nutritional/Metabolic","Women"
"234","Other","E",1,9969,22.5,"55-64",55,"Endocrine/Nutritional/Metabolic","Men"
"235","Other","E",1,12074,24.4,"65-74",65,"Endocrine/Nutritional/Metabolic","Men"
"236","Other","E",2,85,13.1,"5-14",5,"Endocrine/Nutritional/Metabolic","Women"
"237","Other","E",2,6808,22.9,"55-64",55,"Endocrine/Nutritional/Metabolic","Women"
"238","Other","E",1,8822,14.4,"85+",85,"Endocrine/Nutritional/Metabolic","Men"
"239","Other","E",2,9396,21.8,"65-74",65,"Endocrine/Nutritional/Metabolic","Women"
"240","Other","E",1,51575,18.7,"All ages",-1,"Endocrine/Nutritional/Metabolic","Men"
"241","Other","E",1,5107,19.8,"45-54",45,"Endocrine/Nutritional/Metabolic","Men"
"242","Other","E",2,3427,20.2,"45-54",45,"Endocrine/Nutritional/Metabolic","Women"
"243","Other","F",1,10767,16.2,"75-84",75,"Mental/Behavioural/Neurodevelopmental","Men"
"244","Other","F",1,878,9.3,"35-44",35,"Mental/Behavioural/Neurodevelopmental","Men"
"245","Other","F",1,2132,8.3,"45-54",45,"Mental/Behavioural/Neurodevelopmental","Men"
"246","Other","F",2,15,2.3,"5-14",5,"Mental/Behavioural/Neurodevelopmental","Women"
"247","Other","F",2,21371,21,"85+",85,"Mental/Behavioural/Neurodevelopmental","Women"
"248","Other","F",1,3287,7.4,"55-64",55,"Mental/Behavioural/Neurodevelopmental","Men"
"249","Other","F",1,8,1,"5-14",5,"Mental/Behavioural/Neurodevelopmental","Men"
"250","Other","F",1,417,9,"25-34",25,"Mental/Behavioural/Neurodevelopmental","Men"
"251","Other","F",1,122,5.7,"15-24",15,"Mental/Behavioural/Neurodevelopmental","Men"
"252","Other","F",2,3,0,"0-4",0,"Mental/Behavioural/Neurodevelopmental","Women"
"253","Other","F",1,4555,9.2,"65-74",65,"Mental/Behavioural/Neurodevelopmental","Men"
"254","Other","F",2,78,5.2,"15-24",15,"Mental/Behavioural/Neurodevelopmental","Women"
"255","Other","F",1,34901,12.7,"All ages",-1,"Mental/Behavioural/Neurodevelopmental","Men"
"256","Other","F",2,1604,5.4,"55-64",55,"Mental/Behavioural/Neurodevelopmental","Women"
"257","Other","F",2,960,5.7,"45-54",45,"Mental/Behavioural/Neurodevelopmental","Women"
"258","Other","F",1,3,0,"0-4",0,"Mental/Behavioural/Neurodevelopmental","Men"
"259","Other","F",2,258,7.2,"25-34",25,"Mental/Behavioural/Neurodevelopmental","Women"
"260","Other","F",2,13950,18.6,"75-84",75,"Mental/Behavioural/Neurodevelopmental","Women"
"261","Other","F",2,401,5.9,"35-44",35,"Mental/Behavioural/Neurodevelopmental","Women"
"262","Other","F",2,42513,14.7,"All ages",-1,"Mental/Behavioural/Neurodevelopmental","Women"
"263","Other","F",1,12732,20.7,"85+",85,"Mental/Behavioural/Neurodevelopmental","Men"
"264","Other","F",2,3873,9,"65-74",65,"Mental/Behavioural/Neurodevelopmental","Women"
"265","Other","G",1,1009,10.7,"35-44",35,"Nervous","Men"
"266","Other","G",1,264,34.3,"5-14",5,"Nervous","Men"
"267","Other","G",1,600,28,"15-24",15,"Nervous","Men"
"268","Other","G",1,703,15.1,"25-34",25,"Nervous","Men"
"269","Other","G",2,200,30.9,"5-14",5,"Nervous","Women"
"270","Other","G",2,4200,14.1,"55-64",55,"Nervous","Women"
"271","Other","G",1,4671,10.6,"55-64",55,"Nervous","Men"
"272","Other","G",2,293,19.5,"15-24",15,"Nervous","Women"
"273","Other","G",2,451,12.6,"25-34",25,"Nervous","Women"
"274","Other","G",2,21382,21,"85+",85,"Nervous","Women"
"275","Other","G",2,246,2.7,"0-4",0,"Nervous","Women"
"276","Other","G",2,814,12.1,"35-44",35,"Nervous","Women"
"277","Other","G",1,16060,24.1,"75-84",75,"Nervous","Men"
"278","Other","G",2,54531,18.9,"All ages",-1,"Nervous","Women"
"279","Other","G",1,13815,22.5,"85+",85,"Nervous","Men"
"280","Other","G",2,7638,17.8,"65-74",65,"Nervous","Women"
"281","Other","G",1,48145,17.5,"All ages",-1,"Nervous","Men"
"282","Other","G",1,308,2.7,"0-4",0,"Nervous","Men"
"283","Other","G",2,17216,22.9,"75-84",75,"Nervous","Women"
"284","Other","G",2,2091,12.3,"45-54",45,"Nervous","Women"
"285","Other","G",1,8281,16.8,"65-74",65,"Nervous","Men"
"286","Other","G",1,2434,9.4,"45-54",45,"Nervous","Men"
"287","Other","H",2,1,0.2,"5-14",5,"Eye/Adnexa/Ear/Mastoid","Women"
"288","Other","H",2,1,0.1,"15-24",15,"Eye/Adnexa/Ear/Mastoid","Women"
"289","Other","H",1,5,0.1,"35-44",35,"Eye/Adnexa/Ear/Mastoid","Men"
"290","Other","H",1,1,0.1,"5-14",5,"Eye/Adnexa/Ear/Mastoid","Men"
"291","Other","H",2,27,0,"85+",85,"Eye/Adnexa/Ear/Mastoid","Women"
"292","Other","H",1,10,0,"75-84",75,"Eye/Adnexa/Ear/Mastoid","Men"
"293","Other","H",1,4,0.1,"25-34",25,"Eye/Adnexa/Ear/Mastoid","Men"
"294","Other","H",1,7,0,"55-64",55,"Eye/Adnexa/Ear/Mastoid","Men"
"295","Other","H",2,7,0,"65-74",65,"Eye/Adnexa/Ear/Mastoid","Women"
"296","Other","H",1,53,0,"All ages",-1,"Eye/Adnexa/Ear/Mastoid","Men"
"297","Other","H",2,6,0,"55-64",55,"Eye/Adnexa/Ear/Mastoid","Women"
"298","Other","H",1,16,0,"85+",85,"Eye/Adnexa/Ear/Mastoid","Men"
"299","Other","H",1,3,0,"0-4",0,"Eye/Adnexa/Ear/Mastoid","Men"
"300","Other","H",2,7,0,"75-84",75,"Eye/Adnexa/Ear/Mastoid","Women"
"301","Other","H",1,5,0,"45-54",45,"Eye/Adnexa/Ear/Mastoid","Men"
"302","Other","H",2,3,0,"0-4",0,"Eye/Adnexa/Ear/Mastoid","Women"
"303","Other","H",2,6,0,"45-54",45,"Eye/Adnexa/Ear/Mastoid","Women"
"304","Other","H",2,3,0,"35-44",35,"Eye/Adnexa/Ear/Mastoid","Women"
"305","Other","H",2,61,0,"All ages",-1,"Eye/Adnexa/Ear/Mastoid","Women"
"306","Other","H",1,2,0,"65-74",65,"Eye/Adnexa/Ear/Mastoid","Men"
"307","Other","K",2,12670,12.4,"85+",85,"Digestive","Women"
"308","Other","K",1,6630,10.8,"85+",85,"Digestive","Men"
"309","Other","K",2,7859,18.3,"65-74",65,"Digestive","Women"
"310","Other","K",1,48925,17.7,"All ages",-1,"Digestive","Men"
"311","Other","K",2,503,14.1,"25-34",25,"Digestive","Women"
"312","Other","K",2,47,7.3,"5-14",5,"Digestive","Women"
"313","Other","K",1,2419,25.7,"35-44",35,"Digestive","Men"
"314","Other","K",1,51,6.6,"5-14",5,"Digestive","Men"
"315","Other","K",2,112,7.5,"15-24",15,"Digestive","Women"
"316","Other","K",1,8506,12.8,"75-84",75,"Digestive","Men"
"317","Other","K",1,151,7,"15-24",15,"Digestive","Men"
"318","Other","K",2,1508,22.3,"35-44",35,"Digestive","Women"
"319","Other","K",1,154,1.4,"0-4",0,"Digestive","Men"
"320","Other","K",2,6968,23.4,"55-64",55,"Digestive","Women"
"321","Other","K",1,797,17.2,"25-34",25,"Digestive","Men"
"322","Other","K",2,87,1,"0-4",0,"Digestive","Women"
"323","Other","K",2,4662,27.5,"45-54",45,"Digestive","Women"
"324","Other","K",1,8022,31.1,"45-54",45,"Digestive","Men"
"325","Other","K",1,9663,19.6,"65-74",65,"Digestive","Men"
"326","Other","K",2,9743,13,"75-84",75,"Digestive","Women"
"327","Other","K",2,44159,15.3,"All ages",-1,"Digestive","Women"
"328","Other","K",1,12532,28.3,"55-64",55,"Digestive","Men"
"329","Other","L",2,8,0.5,"15-24",15,"Skin/Subcutaneous","Women"
"330","Other","L",1,1884,0.7,"All ages",-1,"Skin/Subcutaneous","Men"
"331","Other","L",2,634,0.8,"75-84",75,"Skin/Subcutaneous","Women"
"332","Other","L",2,864,0.8,"85+",85,"Skin/Subcutaneous","Women"
"333","Other","L",1,4,0,"0-4",0,"Skin/Subcutaneous","Men"
"334","Other","L",1,447,0.7,"75-84",75,"Skin/Subcutaneous","Men"
"335","Other","L",2,2411,0.8,"All ages",-1,"Skin/Subcutaneous","Women"
"336","Other","L",2,2,0,"0-4",0,"Skin/Subcutaneous","Women"
"337","Other","L",1,460,0.7,"85+",85,"Skin/Subcutaneous","Men"
"338","Other","L",1,152,0.6,"45-54",45,"Skin/Subcutaneous","Men"
"339","Other","L",2,402,0.9,"65-74",65,"Skin/Subcutaneous","Women"
"340","Other","L",2,2,0.3,"5-14",5,"Skin/Subcutaneous","Women"
"341","Other","L",1,74,0.8,"35-44",35,"Skin/Subcutaneous","Men"
"342","Other","L",1,5,0.2,"15-24",15,"Skin/Subcutaneous","Men"
"343","Other","L",1,362,0.7,"65-74",65,"Skin/Subcutaneous","Men"
"344","Other","L",1,3,0.4,"5-14",5,"Skin/Subcutaneous","Men"
"345","Other","L",2,26,0.7,"25-34",25,"Skin/Subcutaneous","Women"
"346","Other","L",1,31,0.7,"25-34",25,"Skin/Subcutaneous","Men"
